ID,Ring Count,Last Year,First Year,Species,Elevation,elev.bin,elev.bin2,latitude,longitude,Ht (tot),Ht (Live),Ht (dead),DRC (cm),DBH (cm),Apex #,Apex Length,Needles (HiMeLo),Sex (1) Ramet (2),Circ (cm),Crown D 1 (cm) ,Crown D 2(cm) 
1067,NA,2012,NA,Pg,1260.404541,1260,1200,63.32157651,-129.7646663,70.5,70.5,0,NA,NA,1,10.5,1,1,7,51,46
1057,NA,2012,NA,Pg,1261.606201,1260,1200,63.30684347,-129.7887415,74.5,46.5,28,NA,NA,1,8,1,1,9,55,45
1055,NA,2012,NA,Pg,1262.327148,1260,1200,63.30673275,-129.7893003,79,79,0,NA,NA,1,12.5,3,1,8.5,54,46
1030,NA,2012,NA,Pg,1260.64502,1260,1200,63.30754931,-129.7870631,113,113,0,NA,NA,1,12,2,1,11,42,40
1091,NA,2012,NA,Pg,1264.970703,1260,1200,63.31622844,-129.769574,144,144,102,NA,NA,1,21,2,1,17,106,100
1058,NA,2012,NA,Pg,1261.606201,1260,1200,63.30765744,-129.7868094,146,12,134,NA,NA,1,3.5,2,1,36,178,147
1060,37,2012,1975,Pg,1257.040039,1260,1200,63.30963951,-129.7833496,146,33,113,NA,NA,1,16,1,1,37,182,158
1477,23,2014,1991,NA,1257.573486,1260,1200,63.31141496,-129.77969,250,NA,NA,7.7,3.2,NA,NA,NA,NA,NA,NA,NA
1479,NA,2014,NA,NA,1256.096924,1260,1200,63.31125503,-129.779942,390,NA,NA,9.2,8,NA,NA,NA,NA,NA,NA,NA
1478,NA,2014,NA,NA,1256.486572,1260,1200,63.31141303,-129.779685,450,NA,NA,12.1,6.1,NA,NA,NA,NA,NA,NA,NA
1062,NA,2012,NA,Al,1270.017822,1270,1200,63.31493821,-129.7735573,40,2,38,NA,NA,2,4,1,1,11.5,56,42
1090,NA,2012,NA,Al,1272.901855,1270,1200,63.31177102,-129.7794079,61,61,0,NA,NA,1,9,3,1,7,74,62
1063,45,2012,1967,Al,1269.056641,1270,1200,63.31498884,-129.7732298,110,3,107,NA,NA,2,4.5,2,1,25,142,135
1502,22,2015,1993,Pb,1266.685303,1270,1200,63.29762103,-129.826659,233,NA,NA,18.9,14.5,NA,NA,NA,NA,NA,NA,NA
1505,24,2015,1991,Pb,1267.411621,1270,1200,63.29759798,-129.826769,233,NA,NA,16.4,15,NA,NA,NA,NA,NA,NA,NA
1506,15,2015,2000,Pb,1266.958252,1270,1200,63.29758096,-129.826811,238,NA,NA,19.7,16.2,NA,NA,NA,NA,NA,NA,NA
1504,35,2015,1980,Pb,1266.522705,1270,1200,63.29760896,-129.826739,260,NA,NA,15,22.6,NA,NA,NA,NA,NA,NA,NA
1503,27,2015,1988,Pb,1266.778076,1270,1200,63.29760804,-129.826673,271,NA,NA,18.9,16.2,NA,NA,NA,NA,NA,NA,NA
1462,19,2014,1995,Pb,1267.73999,1270,1200,63.32888897,-129.760941,300,NA,NA,5.3,4.5,NA,NA,NA,NA,NA,NA,NA
1061,NA,2012,NA,Pg,1270.017822,1270,1200,63.31189734,-129.7791365,76,18,58,NA,NA,1,6,3,1,12.5,62,57
1065,NA,2012,NA,Pg,1270.498535,1270,1200,63.3178868,-129.7674552,102.5,75,102.5,NA,NA,1,5,2,1,16,70,80
358,NA,2012,NA,Pg,1274.34375,1270,1200,63.29935038,-129.8220848,127,127,0,NA,NA,1,15.5,3,1,16.5,79.5,67
1064,NA,2012,NA,Pg,1266.653076,1270,1200,63.31743392,-129.7681975,166,166,0,NA,NA,2,16,1,1,16.5,111,108
357,52,2012,1960,Pg,1270.498535,1270,1200,63.29873574,-129.8223712,291,291,0,NA,NA,3,12,2,1,27.3,175,138
1476,48,2014,1966,NA,1265.658569,1270,1200,63.31459899,-129.774743,350,NA,NA,7.2,4.8,NA,NA,NA,NA,NA,NA,NA
359,NA,2012,NA,Al,1275.304932,1280,1200,63.29559345,-129.8341255,82,82,0,NA,NA,1,10,2,1,12,86,61
1054,21,2012,1991,Pg,1276.987305,1280,1200,63.30068395,-129.81488,231,21.5,209.5,NA,NA,1,22,2,1,28.5,186,179
1461,34,2014,1980,Pb,1285.732056,1290,1200,63.33196001,-129.75905,430,NA,NA,6.8,5.1,NA,NA,NA,NA,NA,NA,NA
1460,36,2014,1978,Pb,1286.423462,1290,1200,63.33202003,-129.758994,640,NA,NA,13.3,11.2,NA,NA,NA,NA,NA,NA,NA
1052,NA,2012,NA,Al,1304.144531,1300,1300,63.28990029,-129.8561364,170,70,153,NA,NA,1,6,1,1,7,104,101
1510,16,2015,1999,Pb,1296.587158,1300,1300,63.28937198,-129.86726,216,NA,NA,17.9,14.4,NA,NA,NA,NA,NA,NA,NA
1507,27,2015,1988,Pb,1298.69458,1300,1300,63.289418,-129.866885,222,NA,NA,18.1,15.5,NA,NA,NA,NA,NA,NA,NA
1509,24,2015,1991,Pb,1296.80249,1300,1300,63.28936603,-129.867264,247,NA,NA,16.3,15.5,NA,NA,NA,NA,NA,NA,NA
1508,24,2015,1991,Pb,1297.081177,1300,1300,63.28936997,-129.867217,275,NA,NA,17.3,15,NA,NA,NA,NA,NA,NA,NA
1512,39,2015,1976,Pb,1303.796753,1300,1300,63.28862297,-129.874309,366,NA,NA,22.2,20.6,NA,NA,NA,NA,NA,NA,NA
1455,33,2014,1981,Pb,1304.631714,1300,1300,63.33444298,-129.757776,440,NA,NA,7.8,6.7,NA,NA,NA,NA,NA,NA,NA
1511,41,2015,1974,Pb,1301.483887,1300,1300,63.28860202,-129.874326,456,NA,NA,28,23,NA,NA,NA,NA,NA,NA,NA
1457,27,2014,1987,Pb,1300.750854,1300,1300,63.334129,-129.757857,460,NA,NA,7.5,6.6,NA,NA,NA,NA,NA,NA,NA
1458,33,2014,1981,Pb,1300.745117,1300,1300,63.33413604,-129.75785,470,NA,NA,5.4,4.2,NA,NA,NA,NA,NA,NA,NA
1454,34,2014,1980,Pb,1302.3396,1300,1300,63.33443301,-129.757761,510,NA,NA,8.4,5.6,NA,NA,NA,NA,NA,NA,NA
1459,NA,2014,NA,Pb,1300.879639,1300,1300,63.334101,-129.757841,620,NA,NA,11.5,7.2,NA,NA,NA,NA,NA,NA,NA
1027,NA,2012,NA,Pg,1304.625,1300,1300,63.28972293,-129.856435,92,92,88,NA,NA,2,11,3,1,20,99,81
1094,NA,2012,NA,Pg,1301.981445,1300,1300,63.28803029,-129.8828601,92,92,78,NA,NA,1,15,3,1,14,100,59
1053,NA,2012,NA,Pg,1296.453857,1300,1300,63.2912714,-129.8503817,109,109,91,NA,NA,3,3.5,3,1,19,97,80
1050,NA,2012,NA,Pg,1301.981445,1300,1300,63.28942923,-129.867125,140,91.5,48.5,NA,NA,3,9,1,1,13,68,60
360,43,2012,1969,Pg,1302.22168,1300,1300,63.28937441,-129.8715678,142.5,142.5,134,NA,NA,3,15,3,1,39,136,135
1068,20,2012,1992,Pg,1297.415039,1300,1300,63.3325221,-129.758488,162,162,0,NA,NA,1,9,1,1,16,152,100
1100,26,2012,1986,Pg,1302.22168,1300,1300,63.28938472,-129.8614974,184,184,0,NA,NA,3,18,3,1,19,125,116
361,45,2012,1967,Pg,1303.42334,1300,1300,63.28942655,-129.8717426,194,194,181,NA,NA,6,11,3,1,36.5,202,158
1048,33,2012,1979,Pg,1298.616699,1300,1300,63.28826549,-129.8792348,250,57,193,NA,NA,1,14,1,1,40.5,170,153
1047,35,2012,1977,Pg,1303.183105,1300,1300,63.28799986,-129.8824711,268,169,99,NA,NA,2,7.5,3,1,25,127,118
1096,27,2012,1985,Pg,1301.020264,1300,1300,63.33282569,-129.758356,268,268,0,NA,NA,2,18,3,1,19,148,126
1051,NA,2012,NA,Al,1305.105713,1310,1300,63.28953895,-129.8574369,70,70,0,NA,NA,1,4.5,1,1,6,46,44
1514,32,2015,1983,Pb,1312.702026,1310,1300,63.28599097,-129.890184,198,NA,NA,18.1,15.7,NA,NA,NA,NA,NA,NA,NA
1515,19,2015,1996,Pb,1312.42627,1310,1300,63.28553801,-129.891046,209,NA,NA,17.4,14.8,NA,NA,NA,NA,NA,NA,NA
1513,32,2015,1983,Pb,1305.371582,1310,1300,63.28624897,-129.889041,314,NA,NA,21.9,18.5,NA,NA,NA,NA,NA,NA,NA
1456,39,2014,1975,Pb,1305.255127,1310,1300,63.334431,-129.757794,480,NA,NA,7.7,6.5,NA,NA,NA,NA,NA,NA,NA
362,NA,2012,NA,Pg,1305.586426,1310,1300,63.28852993,-129.8773533,99,99,99,NA,NA,3,12.5,3,1,18,89,80
1035,NA,2012,NA,Pg,1306.788086,1310,1300,63.28596164,-129.8900115,148,148,53,NA,NA,1,14,2,1,8,62,56
1046,NA,2012,NA,Pg,1305.586426,1310,1300,63.28639624,-129.8885088,217,217,0,NA,NA,1,9,1,1,20,126,93
Spruce cone,37,2014,1977,Pg,1307.507812,1310,1300,63.335065,-129.75715,470,NA,NA,9.7,7.2,NA,NA,NA,NA,NA,NA,NA
1519,26,2015,1989,Pb,1319.130615,1320,1300,63.28469002,-129.893239,212,NA,NA,19.7,17.1,NA,NA,NA,NA,NA,NA,NA
1518,30,2015,1985,Pb,1320.072266,1320,1300,63.284702,-129.893178,214,NA,NA,21.2,16.2,NA,NA,NA,NA,NA,NA,NA
1520,20,2015,1995,Pb,1318.227295,1320,1300,63.28454501,-129.893435,225,NA,NA,17.8,15.4,NA,NA,NA,NA,NA,NA,NA
1516,42,2015,1973,Pb,1318.88208,1320,1300,63.28474198,-129.893076,232,NA,NA,21.1,16.3,NA,NA,NA,NA,NA,NA,NA
1522,29,2015,1986,Pb,1318.352783,1320,1300,63.28455096,-129.893561,247,NA,NA,21.4,15.8,NA,NA,NA,NA,NA,NA,NA
1517,28,2015,1987,Pb,1320.586304,1320,1300,63.28474299,-129.893072,258,NA,NA,21.9,17.8,NA,NA,NA,NA,NA,NA,NA
1453,34,2014,1980,Pb,1324.416626,1320,1300,63.33644601,-129.756451,300,NA,NA,5.8,3.4,NA,NA,NA,NA,NA,NA,NA
1521,26,2015,1989,Pb,1317.179199,1320,1300,63.28458197,-129.893524,303,NA,NA,23.2,17.6,NA,NA,NA,NA,NA,NA,NA
1069,NA,2012,NA,Pg,1324.8125,1320,1300,63.33593152,-129.7570883,171.5,171.5,0,NA,NA,1,15,1,1,11,67,55
1026,NA,2012,NA,Al,1327.696289,1330,1300,63.2840571,-129.8989232,47,47,28,NA,NA,1,9,3,1,7,58,47
1045,25,2012,1987,Al,1326.735107,1330,1300,63.28477509,-129.8929667,107,11,96,NA,NA,1,8,2,1,24.5,125,108
1043,NA,2012,NA,Al,1334.425781,1330,1300,63.28378846,-129.9012942,115,7,108,NA,NA,2,9,1,1,11.5,71,56
1446,32,2014,1982,Pb,1334.941162,1330,1300,63.33792499,-129.754921,220,NA,NA,3.9,2,NA,NA,NA,NA,NA,NA,NA
1523,29,2015,1986,Pb,1326.775146,1330,1300,63.28384504,-129.900609,223,NA,NA,18,15.4,NA,NA,NA,NA,NA,NA,NA
1452,NA,2014,NA,Pb,1328.346436,1330,1300,63.33689704,-129.756311,300,NA,NA,5.8,3.6,NA,NA,NA,NA,NA,NA,NA
1443,29,2014,1985,Pb,1333.199951,1330,1300,63.33893099,-129.752437,340,NA,NA,4.5,4,NA,NA,NA,NA,NA,NA,NA
1525,35,2015,1980,Pb,1332.250854,1330,1300,63.28351202,-129.903022,356,NA,NA,20.5,16.4,NA,NA,NA,NA,NA,NA,NA
1524,37,2015,1978,Pb,1333.341064,1330,1300,63.28352803,-129.902976,360,NA,NA,21,16.8,NA,NA,NA,NA,NA,NA,NA
1437,33,2014,1981,Pb,1333.73645,1330,1300,63.34164899,-129.745042,400,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA
1451,NA,2014,NA,Pb,1334.51416,1330,1300,63.33760899,-129.755584,470,NA,NA,13.4,11.4,NA,NA,NA,NA,NA,NA,NA
1044,NA,2012,NA,Pg,1328.897949,1330,1300,63.28380086,-129.9003268,62,62,0,NA,NA,1,11,1,1,5,34,32
1033,NA,2012,NA,Pg,1328.177002,1330,1300,63.28400907,-129.8991571,119,119,0,NA,NA,1,12.5,3,1,12,51,42
1037,NA,2012,NA,Al,1338.030518,1340,1300,63.28018106,-129.9168164,86,86,50,NA,NA,1,12,2,1,8,80,73
1041,NA,2012,NA,Al,1338.991943,1340,1300,63.28318949,-129.9044204,102,60,42,NA,NA,1,11,2,1,12,137,128
1040,NA,2012,NA,Al,1341.154785,1340,1300,63.28321455,-129.9045955,142,20,122,NA,NA,1,10.5,1,1,14,75,64
1039,NA,2012,NA,Al,1344.519287,1340,1300,63.28189666,-129.9085467,157,63,94,NA,NA,1,15,1,1,15,158,124
1529,30,2015,1985,Pb,1340.828857,1340,1300,63.26235501,-130.000232,225,NA,NA,18,14.6,NA,NA,NA,NA,NA,NA,NA
1445,27,2014,1987,Pb,1336.473877,1340,1300,63.33843696,-129.754024,250,NA,NA,4,2.7,NA,NA,NA,NA,NA,NA,NA
1528,28,2015,1987,Pb,1340.483887,1340,1300,63.26233598,-129.999779,305,NA,NA,18.6,16.5,NA,NA,NA,NA,NA,NA,NA
1448,36,2014,1978,Pb,1338.341064,1340,1300,63.33789901,-129.754884,320,NA,NA,5.4,3.3,NA,NA,NA,NA,NA,NA,NA
1444,22,2014,1992,Pb,1336.415039,1340,1300,63.33885496,-129.752932,330,NA,NA,4.7,3,NA,NA,NA,NA,NA,NA,NA
1439,24,2014,1990,Pb,1339.952393,1340,1300,63.34045197,-129.748699,340,NA,NA,7,3.5,NA,NA,NA,NA,NA,NA,NA
1447,38,2014,1976,Pb,1337.46167,1340,1300,63.33791804,-129.754862,360,NA,NA,5.5,3.5,NA,NA,NA,NA,NA,NA,NA
1442,33,2014,1981,Pb,1336.486572,1340,1300,63.34006104,-129.749659,380,NA,NA,4.6,4,NA,NA,NA,NA,NA,NA,NA
1432,20,2014,1994,Pb,1343.635986,1340,1300,63.34327399,-129.740972,400,NA,NA,8.5,4.9,NA,NA,NA,NA,NA,NA,NA
1436,38,2014,1976,Pb,1337.618652,1340,1300,63.34172602,-129.744564,400,NA,NA,7.5,6,NA,NA,NA,NA,NA,NA,NA
1441,NA,2014,NA,Pb,1336.287598,1340,1300,63.34031601,-129.748716,430,NA,NA,8.5,6,NA,NA,NA,NA,NA,NA,NA
1449,NA,2014,NA,Pb,1336.810303,1340,1300,63.337638,-129.755546,430,NA,NA,6.4,3.4,NA,NA,NA,NA,NA,NA,NA
1434,34,2014,1980,Pb,1338.36792,1340,1300,63.34266798,-129.742692,450,NA,NA,8.7,7.8,NA,NA,NA,NA,NA,NA,NA
1435,NA,2014,NA,Pb,1337.676514,1340,1300,63.34266999,-129.742768,450,NA,NA,8.6,6.9,NA,NA,NA,NA,NA,NA,NA
1433,35,2014,1979,Pb,1338.406616,1340,1300,63.34267502,-129.742684,470,NA,NA,9,7.2,NA,NA,NA,NA,NA,NA,NA
1450,32,2014,1982,Pb,1336.54895,1340,1300,63.33763598,-129.755607,470,NA,NA,10.8,5.5,NA,NA,NA,NA,NA,NA,NA
1438,49,2014,1965,Pb,1336.970825,1340,1300,63.34145998,-129.74595,480,NA,NA,19,15,NA,NA,NA,NA,NA,NA,NA
1440,32,2014,1982,Pb,1336.969727,1340,1300,63.34033898,-129.748679,530,NA,NA,14.5,13.5,NA,NA,NA,NA,NA,NA,NA
1095,21,2012,1991,Pg,1341.395264,1340,1300,63.33750414,-129.7557862,146,146,118,NA,NA,1,10,2,1,23.5,132,127
1032,34,2012,1978,Pg,1342.596924,1340,1300,63.28271331,-129.9056534,159,159,140,NA,NA,1,4.5,2,2,28,190,175
1070,NA,2012,NA,Pg,1344.519287,1340,1300,63.33940239,-129.7515134,163.5,163.5,0,NA,NA,1,12.5,1,1,13,89,82
1038,53,2012,1959,Pg,1344.279053,1340,1300,63.28283217,-129.9054662,164,164,0,NA,NA,1,20,3,1,12,86,69
1034,NA,2012,NA,Pg,1337.30957,1340,1300,63.28366701,-129.9021319,198,198,0,NA,NA,1,15,3,1,18.5,104,103
1042,NA,2012,NA,Pg,1341.154785,1340,1300,63.28346794,-129.9036362,200,33,167,NA,NA,1,17,2,1,47,248,248
1021,NA,2012,NA,Al,1347.163086,1350,1300,63.28038801,-129.913475,84,84,0,NA,NA,1,5.5,1,1,10,62,53
1025,NA,2012,NA,Al,1352.209717,1350,1300,63.27706542,-129.9494557,88,88,88,NA,NA,2,5,3,1,34.5,250,222
1022,NA,2012,NA,Al,1348.845215,1350,1300,63.27968015,-129.9359124,92.5,92.5,0,NA,NA,1,21,2,1,14.5,135,103
1024,NA,2012,NA,Al,1348.124268,1350,1300,63.28025264,-129.921362,110,28,82,NA,NA,2,12.5,1,1,29.5,160,137
369,NA,2012,NA,Al,1351.729248,1350,1300,63.26162511,-130.0020305,124,124,0,NA,NA,1,10,3,1,11.5,45,36
370,NA,2012,NA,Al,1349.085693,1350,1300,63.26450991,-129.993551,178,178,145,NA,NA,1,19,2,1,14,141,112
372,34,2012,1978,Al,1353.651855,1350,1300,63.26635385,-129.9897579,181,181,0,NA,NA,1,8,2,1,22.5,175,150
1527,35,2015,1980,Pb,1351.124878,1350,1300,63.26966504,-129.982724,284,NA,NA,19 & 20.3,16.7,NA,NA,NA,NA,NA,NA,NA
1526,34,2015,1981,Pb,1351.539551,1350,1300,63.26964903,-129.982518,314,NA,NA,18.6,16.8,NA,NA,NA,NA,NA,NA,NA
1431,29,2014,1985,Pb,1348.839233,1350,1300,63.34371496,-129.739718,370,NA,NA,6.9,2.9,NA,NA,NA,NA,NA,NA,NA
1430,28,2014,1986,Pb,1351.275146,1350,1300,63.34378,-129.73948,410,NA,NA,11,7,NA,NA,NA,NA,NA,NA,NA
Poplar,NA,2012,NA,Pb,1345.961426,1350,1300,63.28144731,-129.9100283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1036,NA,2012,NA,Pg,1345.720947,1350,1300,63.28141387,-129.910353,39,39,31,NA,NA,1,5,3,1,7,64,55
1028,NA,2012,NA,Pg,1348.845215,1350,1300,63.27992843,-129.9255888,74,74,0,NA,NA,4,9,3,1,12.5,75,73
1023,NA,2012,NA,Pg,1352.930908,1350,1300,63.27635631,-129.9527636,84.5,36.5,48,NA,NA,1,8.5,2,1,13.5,64,53
1020,NA,2012,NA,Pg,1351.969482,1350,1300,63.2764491,-129.952645,89,89,0,NA,NA,1,17.5,1,1,12.5,73,55
1019,NA,2012,NA,Pg,1351.008301,1350,1300,63.27627165,-129.9559476,104,104,0,NA,NA,1,9,1,1,10.5,51,51
1029,NA,2012,NA,Pg,1350.287354,1350,1300,63.27993019,-129.9287685,125,125,0,NA,NA,1,12,3,1,9.5,64,49
1012,NA,2012,NA,Pg,1354.132568,1350,1300,63.27685889,-129.9504391,134,134,0,NA,NA,1,19,3,1,11,64,51
371,21,2012,1991,Pg,1349.085693,1350,1300,63.26624815,-129.9899737,211,211,0,NA,NA,1,18,2,1,20,101,92
368,NA,2012,NA,Al,1357.49707,1360,1300,63.261189,-130.0031407,124,124,0,NA,NA,4,5,2,1,19,200,144
1011,NA,2012,NA,Al,1364.226318,1360,1300,63.27530807,-129.9609421,99,99,58,NA,NA,1,8,3,1,14.5,84,76
1017,NA,2012,NA,Al,1358.218018,1360,1300,63.27622379,-129.9548889,141,141,0,NA,NA,1,5,1,1,10.5,101,89
1018,NA,2012,NA,Al,1360.140625,1360,1300,63.27597409,-129.9583326,158.5,158.5,0,NA,NA,1,6,1,1,14,91,76
1015,34,2012,1978,Al,1363.98584,1360,1300,63.27521629,-129.9613823,185,51,134,NA,NA,3,5.5,2,1,23.5,142,132
1016,39,2012,1973,Al,1363.745361,1360,1300,63.27567654,-129.9599886,185.5,33.5,152,NA,NA,1,7.5,2,1,32.5,262,246
377,NA,2012,NA,Al,1357.49707,1360,1300,63.26959438,-129.9839579,219.5,219.5,84.5,NA,NA,1,7,1,1,21.5,135,100
374,47,2012,1965,Al,1361.822998,1360,1300,63.26812847,-129.9863233,297,0,297,NA,NA,7,7,2,1,48,202,193
373,40,2012,1972,Pg,1359.900146,1360,1300,63.26724476,-129.988299,227,12,215,NA,NA,1,12,2,1,41,213,180
375,38,2012,1974,Pm,1360.621338,1360,1300,63.26811715,-129.9865469,30,13,17,NA,NA,1,4,2,1,6,22,19.5
376,35,2012,1977,Pm,1357.256592,1360,1300,63.26863356,-129.9864667,405,405,176,NA,NA,1,7.5,2,1,53,180,157
381,NA,2012,NA,Al,1370.715088,1370,1300,63.2702143,-129.9801871,44,44,0,NA,NA,1,4,3,1,9,58,40
388,NA,2012,NA,Al,1372.637695,1370,1300,63.27005982,-129.9797532,51.5,51.5,0,NA,NA,1,5,1,1,10,56.5,41
1007,NA,2012,NA,Al,1370.474854,1370,1300,63.27401508,-129.963614,57,57,0,NA,NA,1,12,3,1,5,55,52
379,NA,2012,NA,Al,1367.831299,1370,1300,63.2697626,-129.9801704,62.5,62.5,0,NA,NA,1,5,3,1,9,64,60
367,29,2012,1983,Al,1368.79248,1370,1300,63.25867041,-130.0074701,270,270,178,NA,NA,2,10,3,1,37.5,174,165
387,NA,2012,NA,Al,1372.397461,1370,1300,63.27013895,-129.9794252,87,87,43,NA,NA,2,16,3,1,17.5,117,112
386,NA,2012,NA,Al,1372.637695,1370,1300,63.2702024,-129.9795557,119,119,77,NA,NA,1,23.5,2,1,16,145,144
1008,NA,2012,NA,Al,1368.071533,1370,1300,63.27436552,-129.9628492,134,134,41,NA,NA,1,11,2,1,13.5,85,71
1001,NA,2012,NA,Al,1374.079834,1370,1300,63.27052058,-129.9767016,147,7,140,NA,NA,1,14,3,1,19,160,150
380,NA,2012,NA,Al,1373.118408,1370,1300,63.27013794,-129.9803132,163,163,0,NA,NA,1,19,3,1,16,109,99
1010,42,2012,1970,Al,1367.110352,1370,1300,63.2757622,-129.9591364,181,181,164,NA,NA,2,13,3,1,31,336,277
385,NA,2012,NA,Pg,1370.474854,1370,1300,63.2702345,-129.9796588,27,27,0,NA,NA,2,5,3,1,4.55,23,22
1009,NA,2012,NA,Pg,1365.908691,1370,1300,63.27482779,-129.9617463,46,46,44,NA,NA,2,5,3,1,8,53,49
383,NA,2012,NA,Pg,1369.273193,1370,1300,63.27032846,-129.9797487,50,50,46,NA,NA,4,4,3,1,10.5,52,50
1014,NA,2012,NA,Pg,1365.427979,1370,1300,63.27484287,-129.9617803,51,51,0,NA,NA,1,3.5,1,1,7.5,34,31
382,NA,2012,NA,Pg,1370.955566,1370,1300,63.27032662,-129.9797629,58.5,58.5,0,NA,NA,1,7,3,1,5.5,40,32
384,NA,2012,NA,Pg,1371.676514,1370,1300,63.27027566,-129.9796884,65,65,0,NA,NA,1,8,3,1,6,39,39
389,NA,2012,NA,Pg,1370.474854,1370,1300,63.27010877,-129.9797619,66,66,0,NA,NA,1,8,1,1,7.5,41,36
378,NA,2012,NA,Pg,1370.955566,1370,1300,63.27003376,-129.9800708,88,88,0,NA,NA,2,6.5,3,1,11,66,59
390,NA,2012,NA,Pg,1374.320068,1370,1300,63.27005438,-129.9799461,99,99,0,NA,NA,2,9,1,1,8.5,63,48.5
1006,NA,2012,NA,Pg,1371.676514,1370,1300,63.27370168,-129.9640193,257,0,257,NA,NA,1,4,3,1,35.5,192,191
366,35,2012,1977,Al,1377.68457,1380,1300,63.25735135,-130.0092144,186,186,80,NA,NA,2,8,2,1,38,173,145
1429,21,2014,1993,Pb,1379.028687,1380,1300,63.34637001,-129.734005,360,NA,NA,7,4.1,NA,NA,NA,NA,NA,NA,NA
1428,NA,2014,NA,Pb,1378.163696,1380,1300,63.34636599,-129.733954,510,NA,NA,14,6.5,NA,NA,NA,NA,NA,NA,NA
1002,NA,2012,NA,Pg,1378.645996,1380,1300,63.27093179,-129.9751401,69,69,0,NA,NA,2,10,3,1,8.5,58,40
365,NA,2012,NA,Pg,1378.405518,1380,1300,63.25738228,-130.0094082,84,84,0,NA,NA,2,10,3,1,10,42,41
1003,NA,2012,NA,Pg,1384.654053,1380,1300,63.2719103,-129.9716861,96,9,0,NA,NA,1,9.5,2,1,10.5,64,53
1013,23,2012,1989,Pg,1379.607178,1380,1300,63.2721382,-129.9703824,108,108,0,NA,NA,1,12,1,1,17,91,91
1005,NA,2012,NA,Pg,1375.28125,1380,1300,63.27276978,-129.9674131,113,113,64,NA,NA,1,11.5,2,1,15,92,61
363,24,2012,1988,Al,1389.700928,1390,1300,63.27131661,-129.9741863,285,285,0,NA,NA,1,16,2,1,27.5,148,129
