CODE,Site,Zone,Tree,Aspect,Height,2013.water,2014.water,2015.water,2016.water,2017.water,2018.water,2013.sa,2014.sa,2015.sa,2016.sa,2017.sa,2018.sa,2013.gmin,2014.gmin,2015.gmin,2016.gmin,2017.gmin,2018.gmin
AIR.F5.LS,AIR,F,5,L,S,95.46460177,NA,NA,NA,110.7660455,NA,2.7720495,NA,NA,NA,2.856051,NA,4.37961E-07,NA,NA,NA,5.29386E-07,NA
AIR.F5.WA,AIR,F,5,W,A,103.511236,NA,NA,NA,73.57916103,NA,3.4440615,NA,NA,NA,2.7888498,NA,7.5844E-08,NA,NA,NA,5.143E-07,NA
AIR.F5.WC,AIR,F,5,W,C,106.1746988,NA,NA,NA,105.1038576,NA,3.7464669,NA,NA,NA,3.2592582,NA,1.83829E-07,NA,NA,NA,8.24102E-07,NA
AIR.F5.WS,AIR,F,5,W,S,NA,NA,NA,NA,105.7054401,NA,NA,NA,NA,NA,2.7888498,NA,NA,NA,NA,NA,6.46537E-07,NA
BLK.E1.LA,BLK,E,1,L,A,70.83333333,NA,NA,115.4266958,122.5461613,120.9528439,2.9232522,NA,NA,2.856051,2.62756692,3.2592582,1.21148E-06,NA,NA,1.29519E-05,1.27693E-06,4.71603E-07
BLK.E1.LC,BLK,E,1,L,C,24.3610658,120.9573092,138.7210473,173.5689046,105.6277056,117.4082073,2.1672387,1.9992357,2.4696441,3.2256576,1.84467294,2.8896516,7.17557E-07,1.14876E-06,1.71672E-06,3.717E-06,1.63771E-06,1.19493E-06
BLK.E1.LS,BLK,E,1,L,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLK.E1.WA,BLK,E,1,W,A,NA,NA,114.4463668,112.4233129,122.6373626,84.12150501,NA,NA,2.2344399,2.5368453,2.62756692,3.0912552,NA,NA,3.83785E-06,3.57662E-07,1.61277E-06,1.5101E-06
BLK.E1.WC,BLK,E,1,W,C,106.4634146,106.3374486,115.4907975,121.8560278,121.8930041,97.3354232,1.9488348,1.7472312,2.4528438,2.856051,2.31508134,2.4528438,1.0876E-06,1.19133E-06,1.12777E-06,8.36351E-06,1.64936E-06,3.92701E-06
BLK.E1.WS,BLK,E,1,W,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLK.E2.LA,BLK,E,2,L,A,108.1915564,123.0932203,111.6643929,238.3792049,128.5412262,118.2771194,2.8896516,2.2344399,2.4024429,2.0664369,2.71492848,2.8224504,1.71326E-06,7.16669E-07,1.84568E-06,4.6633E-05,6.36508E-07,5.31819E-07
BLK.E2.LC,BLK,E,2,L,C,103.4722222,123.714505,99.8012775,144,116.5217391,119.2611191,2.016036,1.8984339,3.0912552,1.9320345,2.00931588,3.3936606,9.13241E-07,8.52982E-07,7.5948E-07,1.07887E-06,8.60944E-07,4.30309E-07
BLK.E2.LS,BLK,E,2,L,S,158.3084577,114.1686183,NA,NA,NA,NA,1.9488348,2.5704459,NA,NA,NA,NA,4.88437E-07,1.10693E-06,NA,NA,NA,NA
BLK.E2.WA,BLK,E,2,W,A,138.4078212,125.5395683,207.4795082,156.2704471,127.9933939,98.45446951,2.2344399,2.2680405,2.5704459,2.1168378,3.00389364,2.520045,7.91522E-07,5.93167E-07,2.9246E-06,3.75209E-06,6.05865E-07,2.93466E-06
BLK.E2.WC,BLK,E,2,W,C,112.9325014,144.5534838,115.6415479,113.9186296,117.9775281,111.7647059,2.1672387,1.8816336,2.7552492,1.8984339,2.4360435,2.4864444,1.6138E-07,8.40523E-07,2.63211E-06,1.38364E-06,9.40164E-07,2.99403E-06
BLK.E2.WS,BLK,E,2,W,S,NA,87.86717752,NA,133.0804249,NA,NA,NA,2.1168378,NA,2.016036,NA,NA,NA,1.86696E-06,NA,4.17353E-06,NA,NA
BLK.E3.LA,BLK,E,3,L,A,89.8,NA,NA,122.6141079,119.594336,124.6808511,2.371807059,NA,NA,2.184039,2.81573028,2.8224504,7.2421E-07,NA,NA,5.32418E-06,7.78973E-07,1.14893E-06
BLK.E3.LC,BLK,E,3,L,C,97.14912281,104.2115573,110.5429626,104.494382,NA,126.7989109,2.05337,1.5960285,2.3016411,2.3184414,NA,3.3936606,8.48073E-08,1.34811E-06,1.78643E-06,1.57408E-05,NA,1.0732E-06
BLK.E3.LS,BLK,E,3,L,S,NA,103.7225042,NA,NA,NA,98.49246231,NA,1.9824354,NA,NA,NA,2.2848408,NA,6.01454E-07,NA,NA,NA,6.44023E-07
BLK.E3.WA,BLK,E,3,W,A,50.49309665,41.85823755,106.8646865,87.59689922,NA,NA,1.9992357,2.016036,2.3184414,2.5536456,NA,NA,3.16324E-07,8.1238E-07,2.95242E-06,2.49115E-05,NA,NA
BLK.E3.WC,BLK,E,3,W,C,93.42723005,108.9770355,107.6455256,79.08163265,118.3944154,124.8630137,1.9824354,1.8144324,2.016036,1.2432222,3.4440615,3.7296666,6.3393E-07,7.52467E-07,5.3282E-06,4.19984E-05,1.34249E-06,9.41598E-07
BLK.E3.WS,BLK,E,3,W,S,82.72841051,104.1814947,NA,NA,117.375,NA,2.2848408,1.5792282,NA,NA,2.92997232,NA,3.98252E-07,6.01845E-07,NA,NA,1.9217E-06,NA
BLK.E4.LA,BLK,E,4,L,A,114.4075021,119.8712052,118.6733958,149.5987159,104.7993706,118.3470359,3.2256576,2.0664369,2.016036,2.5536456,2.7384489,2.6544474,2.26873E-07,8.30274E-07,1.3538E-06,1.50653E-05,2.89883E-06,6.11776E-07
BLK.E4.LC,BLK,E,4,L,C,111.4832536,118.556701,107.9150579,195.4425942,97.59036145,104.5695823,2.196962308,1.7472312,1.6968303,2.352042,2.74516902,2.2176396,3.23476E-07,1.26572E-06,1.38033E-06,6.47848E-06,2.30441E-06,3.17868E-06
BLK.E4.LS,BLK,E,4,L,S,NA,98.61591696,110.9715243,NA,NA,119.6172249,NA,2.0496366,1.7808318,NA,NA,2.5872462,NA,6.44933E-07,6.69772E-07,NA,NA,5.70149E-07
BLK.E4.WA,BLK,E,4,W,A,116.4942529,NA,NA,52.74725275,106.3047285,NA,2.8056501,NA,NA,1.8984339,3.04757442,NA,5.35466E-07,NA,NA,1.91131E-05,3.25421E-06,NA
BLK.E4.WC,BLK,E,4,W,C,107.3859987,108.1668115,113.8719512,118.3794466,106.4298836,116.5133395,2.5536456,1.9152342,1.7640315,1.8312327,3.03413418,2.4192432,3.00017E-07,1.76268E-06,8.56012E-07,1.82581E-05,3.97891E-06,6.7819E-07
BLK.E4.WS,BLK,E,4,W,S,117.405765,131,NA,NA,NA,NA,1.8312327,1.68003,NA,NA,NA,NA,3.17375E-07,1.09525E-06,NA,NA,NA,NA
BLK.E5.LA,BLK,E,5,L,A,106.9603524,101.8125,92.31746032,145.799458,121.4753123,90.00942507,3.2424579,1.9656351,2.2344399,2.2680405,2.46628404,2.4864444,8.5071E-07,7.73086E-07,2.45964E-06,3.44912E-06,1.0814E-06,5.19655E-07
BLK.E5.LC,BLK,E,5,L,C,100.1820665,119.6298744,88.01213961,106.1312608,111.1959288,123.4082397,3.0408543,1.8984339,2.4024429,1.5792282,2.73172878,2.2176396,7.77151E-07,1.1726E-06,3.88411E-06,1.682E-06,1.94475E-06,4.93859E-07
BLK.E5.LS,BLK,E,5,L,S,113.08933,118.0300501,95.36702768,116.2587413,NA,NA,2.9064519,1.9656351,2.2344399,2.4528438,NA,NA,1.42911E-07,5.49175E-07,3.39246E-07,2.9052E-06,NA,NA
BLK.E5.WA,BLK,E,5,W,A,85.55956679,104.3076923,210.1204819,92.45283019,126.8703242,97.94007491,2.7552492,1.7976321,2.370709,2.7552492,2.56036572,2.2848408,2.59466E-07,1.80132E-06,4.31686E-06,1.0701E-05,8.15253E-07,2.85378E-06
BLK.E5.WC,BLK,E,5,W,C,133.4987593,80.36809816,98.11827957,127.620505,135.6343284,106.2812277,3.4608618,1.938496154,2.2680405,2.3688423,1.99251558,2.0832372,8.7393E-07,9.86428E-07,3.47025E-06,2.16483E-06,7.8035E-07,8.52497E-07
BLK.E5.WS,BLK,E,5,W,S,114.2857143,136.2850972,NA,113.6652542,123.3048058,NA,2.4360435,1.8312327,NA,2.5032447,2.44276362,NA,4.8093E-07,1.07763E-06,NA,1.59301E-06,2.04584E-06,NA
BLK.F1.LA,BLK,F,1,L,A,93.12233719,91.14285714,133.8129496,NA,122.0946416,114.9744753,2.4360435,2.6376471,2.688048,NA,3.528063,3.2928588,3.05057E-08,3.9692E-07,1.66408E-06,NA,7.42292E-07,5.31115E-07
BLK.F1.LC,BLK,F,1,L,C,112.8404669,115.2339499,113.7758744,120.6460674,117.5985874,121.2774614,3.024054,2.3184414,2.9064519,3.041738526,3.3264594,3.2592582,9.80398E-07,2.98601E-07,9.85059E-07,5.13288E-06,7.65765E-07,7.1604E-07
BLK.F1.LS,BLK,F,1,L,S,122.97593,113.733469,NA,NA,125.146886,97.4248927,2.8392507,1.7136306,NA,NA,4.5696816,2.8224504,4.63158E-07,4.70682E-07,NA,NA,2.0872E-06,2.27133E-06
BLK.F1.WA,BLK,F,1,W,A,109.0534979,112.2093023,NA,134.7891566,73.19168174,129.3902439,3.7632672,2.1672387,NA,3.528063,3.5616636,2.9232522,1.96609E-07,2.71975E-07,NA,2.19509E-06,8.94942E-07,3.36482E-07
BLK.F1.WC,BLK,F,1,W,C,107.0460705,110.7526882,169.0553746,123.4032847,120.3552568,120.2170188,3.7296666,2.1336381,3.4608618,3.0744549,3.4608618,3.0912552,3.9149E-07,7.30621E-07,9.125E-07,4.61458E-06,7.84831E-07,5.81211E-07
BLK.F1.WS,BLK,F,1,W,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLK.F2.LA,BLK,F,2,L,A,101.1988717,114.9663677,NA,97.5177305,112.465374,123.8150965,3.5784639,2.2176396,NA,3.3264594,3.696066,3.3264594,4.14564E-07,8.59764E-07,NA,4.58099E-06,5.7471E-07,4.97866E-07
BLK.F2.LC,BLK,F,2,L,C,NA,124.7389558,120.3915171,113.8740662,115.8726179,118.6824498,NA,2.1168378,2.9232522,3.3768603,3.7968678,3.4272612,NA,1.2095E-06,2.44788E-06,4.7198E-06,6.73214E-07,6.78014E-07
BLK.F2.LS,BLK,F,2,L,S,NA,111.0526316,NA,NA,NA,NA,NA,2.2512402,NA,NA,NA,NA,NA,3.436E-07,NA,NA,NA,NA
BLK.F2.WA,BLK,F,2,W,A,109.4564408,118.159204,262.1489621,93.35695306,114.4682605,113.3060389,3.5952642,2.3016411,3.519220737,2.6208468,3.5784639,3.0576546,6.11825E-07,6.64685E-07,3.35227E-06,5.1682E-06,4.02849E-07,1.36347E-06
BLK.F2.WC,BLK,F,2,W,C,144.6170327,126.7826087,111.7021277,97.98917247,112.2324848,128.5971223,3.36006,1.5792282,3.2592582,2.7216486,3.5448633,2.1504384,6.08623E-07,1.09378E-06,9.40308E-07,5.02309E-06,8.93705E-07,2.66694E-07
BLK.F2.WS,BLK,F,2,W,S,131.3086199,110.2990033,NA,NA,118.7530208,NA,2.9400525,1.5960285,NA,NA,4.3008768,NA,6.09624E-07,4.84519E-07,NA,NA,5.43395E-07,NA
BLK.F3.LA,BLK,F,3,L,A,22.45646196,121.3452915,NA,133.3333333,123.0800991,108.974359,3.45246165,3.1416561,NA,3.1080555,3.8976696,2.7888498,3.18566E-07,5.00188E-07,NA,1.72087E-06,8.70302E-07,1.4171E-06
BLK.F3.LC,BLK,F,3,L,C,101.3739324,119.9449794,105.4699538,127.6462059,122.6470588,117.1880145,3.36006,3.1248558,3.5952642,2.6208468,3.864069,3.1584564,7.99062E-07,5.85793E-07,6.11291E-07,2.22721E-06,4.79412E-07,1.21404E-06
BLK.F3.LS,BLK,F,3,L,S,103.4201954,92.38900634,NA,NA,131.9672131,NA,3.4272612,2.8056501,NA,NA,3.7968678,NA,4.37099E-07,6.55996E-07,NA,NA,9.5535E-07,NA
BLK.F3.WA,BLK,F,3,W,A,96.78205753,124.7877759,NA,204.7151277,136.1333333,123.9569314,3.0912552,2.3352417,NA,3.2424579,4.4352792,2.4192432,6.48793E-07,4.30354E-07,NA,6.09795E-06,1.01459E-06,1.66632E-06
BLK.F3.WC,BLK,F,3,W,C,92.37379162,120.3389831,112.2171946,124.0471869,129.5205479,125.9306804,3.2088573,2.3184414,3.528063,2.8896516,3.864069,3.7296666,6.08994E-07,9.90553E-07,6.48488E-07,8.23133E-06,8.07807E-07,6.05611E-07
BLK.F3.WS,BLK,F,3,W,S,113.5658915,NA,NA,NA,133.2133213,NA,3.024054,NA,NA,NA,3.864069,NA,9.60286E-07,NA,NA,NA,1.17675E-06,NA
BLK.F4.LA,BLK,F,4,L,A,100.41841,NA,105.4894785,123.3333333,119.121447,118.7639198,3.2424579,NA,3.7128663,3.4272612,2.688048,3.6624654,1.97866E-07,NA,9.69822E-07,2.97806E-06,4.71545E-07,4.07819E-07
BLK.F4.LC,BLK,F,4,L,C,110.7715814,103.8103302,89.35185185,124.1835148,131.534835,123.4116623,3.3096591,1.8648333,3.9648708,3.4776621,2.5536456,3.3936606,3.3785E-07,1.44684E-06,1.68435E-06,2.14452E-06,8.44594E-07,3.59797E-07
BLK.F4.LS,BLK,F,4,L,S,NA,NA,112.8892107,NA,NA,NA,NA,NA,2.8896516,NA,NA,NA,NA,NA,1.87968E-06,NA,NA,NA
BLK.F4.WA,BLK,F,4,W,A,87.47044917,127.6422764,109.4235589,119.9483538,89.51048951,102.4819856,2.376042429,2.0496366,3.0576546,3.4608618,2.8224504,3.3936606,2.9757E-07,1.06046E-06,6.48111E-07,3.6684E-06,3.09107E-06,1.52291E-06
BLK.F4.WC,BLK,F,4,W,C,143.4108527,122.8690229,116.3862928,117.0896242,116.3733741,166.6378138,3.014171471,1.68003,3.2592582,3.4608618,2.184039,3.1584564,9.65882E-07,1.68615E-06,9.22763E-07,2.7633E-06,1.02183E-06,4.90246E-07
BLK.F4.WS,BLK,F,4,W,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLK.F5.LA,BLK,F,5,L,A,116.6824346,116.7547569,NA,136.3636364,117.6735798,109.7972008,2.5704459,1.6128288,NA,3.6288648,2.5536456,3.024054,6.47599E-07,7.93416E-07,NA,6.16299E-06,7.19698E-07,1.20665E-06
BLK.F5.LC,BLK,F,5,L,C,126.56559,82.99881936,125.9349593,99.72191324,120.8990536,109.8705502,2.5032447,1.7136306,3.6792657,3.3768603,2.5536456,2.6208468,6.29971E-07,1.53431E-06,1.96031E-06,1.39083E-07,5.23318E-07,5.19944E-07
BLK.F5.LS,BLK,F,5,L,S,111.6071429,106.0887513,NA,NA,NA,92.46663797,2.0832372,1.8984339,NA,NA,NA,3.36006,8.2125E-07,5.50977E-07,NA,NA,NA,2.77771E-06
BLK.F5.WA,BLK,F,5,W,A,112.6099707,106.873823,NA,118.8305709,115.7824043,88.78550441,2.6544474,1.4448258,NA,2.9400525,2.0832372,2.8896516,4.68201E-07,8.61828E-07,NA,3.47704E-06,6.05199E-07,3.73742E-06
BLK.F5.WC,BLK,F,5,W,C,108.3185841,104.3991416,114.8337596,119.108826,117.3121313,117.6098973,2.9064519,1.2600225,2.4696441,3.5616636,2.3856426,3.4608618,3.78412E-08,5.01686E-07,2.46686E-06,5.90993E-06,1.38393E-06,6.11952E-07
BLK.F5.WS,BLK,F,5,W,S,NA,110,NA,NA,133.6351876,NA,NA,1.6296291,NA,NA,2.352042,NA,NA,4.92409E-07,NA,NA,1.11391E-06,NA
BRR.R1.LA,BRR,R,1,L,A,NA,119.7795988,NA,137.4777975,117.7424694,122.5125268,NA,4.0992732,NA,2.7384489,4.94264826,0.39648708,NA,2.04461E-06,NA,1.09574E-05,5.54905E-07,7.17049E-06
BRR.R1.LC,BRR,R,1,L,C,NA,100.4017626,NA,160.2803738,121.4544631,111.7988395,NA,3.4608618,NA,4.1496741,4.872087,0.29904534,NA,1.12778E-06,NA,4.24629E-06,1.09764E-06,1.04372E-05
BRR.R1.LS,BRR,R,1,L,S,NA,121.4718353,NA,111.1443978,NA,109.8182977,NA,3.7800675,NA,3.0072537,NA,0.36624654,NA,1.08836E-06,NA,1.03439E-05,NA,1.39917E-05
BRR.R1.WA,BRR,R,1,W,A,NA,114.8583147,NA,174.0470397,125.8741259,135.4815864,NA,4.4016786,NA,4.0488723,3.96823086,0.3528063,NA,5.40711E-07,NA,3.40268E-06,4.63888E-07,1.06464E-05
BRR.R1.WC,BRR,R,1,W,C,NA,101.8598535,NA,179.5543906,120.7051504,120.16585,NA,3.7296666,NA,3.3264594,4.3344774,0.38304684,NA,2.87673E-06,NA,2.94824E-06,9.19377E-07,1.23443E-05
BRR.R1.WS,BRR,R,1,W,S,NA,113.0676949,NA,NA,93.66459627,108.7363495,NA,3.864069,NA,NA,3.80694798,0.32256576,NA,1.60354E-06,NA,NA,4.46838E-06,1.34828E-05
BRR.R2.LA,BRR,R,2,L,A,NA,119.5539754,NA,155.4194156,133.7420886,121.686747,NA,4.032072,NA,3.03245415,3.9984714,0.4872087,NA,1.28557E-06,NA,1.34788E-06,4.08193E-07,2.11218E-05
BRR.R2.LC,BRR,R,2,L,C,NA,123.4635645,NA,201.4783527,128.8689171,136.9961347,NA,4.536081,NA,3.50286255,3.99175128,0.41664744,NA,9.20673E-07,NA,1.42094E-06,4.04875E-07,9.74608E-06
BRR.R2.LS,BRR,R,2,L,S,NA,123.7079184,NA,NA,140.8304498,NA,NA,4.2840765,NA,NA,4.00519152,NA,NA,8.08719E-07,NA,NA,8.09978E-07,NA
BRR.R2.WA,BRR,R,2,W,A,NA,123.8175676,NA,330.1425662,140.5107371,136.6895874,NA,3.6624654,NA,2.4024429,4.200075,0.39984714,NA,7.88797E-07,NA,3.14896E-06,4.96848E-07,4.27338E-06
BRR.R2.WC,BRR,R,2,W,C,NA,127.3092369,NA,139.278279,129.9614112,132.2777566,NA,4.9224879,NA,3.2760585,3.89430954,0.45024804,NA,3.22955E-06,NA,7.61003E-06,6.63065E-07,9.43606E-06
BRR.R2.WS,BRR,R,2,W,S,NA,126.4150943,NA,NA,NA,125.1625813,NA,4.3512777,NA,NA,NA,0.37296666,NA,1.47135E-06,NA,NA,NA,1.67101E-05
BRR.R3.LA,BRR,R,3,L,A,NA,119.3131313,NA,146.1851852,122.9668675,101.6823161,NA,3.192057,NA,3.9984714,4.0992732,0.31584564,NA,1.0583E-06,NA,3.77696E-06,3.01501E-07,3.24362E-05
BRR.R3.LC,BRR,R,3,L,C,NA,112.2085048,NA,136.1149111,124.0297714,132.3607427,NA,1.9656351,NA,3.8472687,4.44199932,0.2520045,NA,3.72344E-06,NA,1.19975E-05,3.70084E-07,7.8821E-06
BRR.R3.LS,BRR,R,3,L,S,NA,125.7142857,NA,NA,124.8069498,131.1250714,NA,2.5872462,NA,NA,4.2840765,0.30912552,NA,2.73628E-06,NA,NA,5.0249E-07,4.99989E-06
BRR.R3.WA,BRR,R,3,W,A,NA,123.7789203,NA,139.1409558,119.646098,114.5587409,NA,2.5536456,NA,3.4944624,4.6368828,0.2856051,NA,1.42686E-06,NA,1.71377E-06,5.60489E-07,3.69627E-06
BRR.R3.WC,BRR,R,3,W,C,NA,128.8267793,NA,128.1824871,125.0088308,124.6768508,NA,3.2592582,NA,3.4104609,4.12615368,0.2520045,NA,1.82283E-06,NA,1.38114E-06,5.125E-07,4.28002E-06
BRR.R3.WS,BRR,R,3,W,S,NA,115.4688869,NA,NA,121.8028169,112.03125,NA,3.4440615,NA,NA,4.2672762,0.28896516,NA,3.14416E-06,NA,NA,3.86064E-07,2.99774E-05
BRR.R4.LA,BRR,R,4,L,A,NA,125.3438933,NA,128.6805909,124.7129077,125.8922981,NA,3.4440615,NA,3.67086555,3.1752567,0.38976696,NA,6.2557E-07,NA,9.00144E-07,6.41398E-07,9.99567E-06
BRR.R4.LC,BRR,R,4,L,C,NA,123.2879269,NA,128.9620131,114.8604023,128.6493861,NA,3.528063,NA,3.2592582,3.5112627,0.3192057,NA,1.06922E-06,NA,2.12382E-06,4.29412E-06,2.39186E-05
BRR.R4.LS,BRR,R,4,L,S,NA,136.6450325,NA,166.8595041,113.6876006,113.6082474,NA,4.3176771,NA,2.8896516,3.7968678,0.34944624,NA,1.79737E-06,NA,2.59367E-06,4.17296E-06,2.18248E-05
BRR.R4.WA,BRR,R,4,W,A,NA,126.037917,NA,173.8191633,116.1494904,122.515213,NA,4.0152717,NA,3.15005625,3.43734138,0.41328738,NA,1.36885E-06,NA,2.65108E-06,3.64615E-06,4.95489E-06
BRR.R4.WC,BRR,R,4,W,C,NA,148.6464809,NA,139.75,129.6551724,130.5066667,NA,3.7632672,NA,3.5784639,3.55494348,0.29568528,NA,8.36319E-07,NA,1.71758E-06,1.26098E-06,1.69216E-05
BRR.R4.WS,BRR,R,4,W,S,NA,124.2166344,NA,117.5963489,106.0309698,109.3880972,NA,3.4104609,NA,2.7888498,3.3264594,0.27552492,NA,9.77768E-07,NA,2.23475E-06,2.42584E-06,9.52135E-06
BRR.R5.LA,BRR,R,5,L,A,NA,NA,NA,NA,126.4349863,141.5318504,NA,NA,NA,NA,3.68598582,0.45024804,NA,NA,NA,NA,2.07385E-06,3.69227E-06
BRR.R5.LC,BRR,R,5,L,C,NA,138.5608856,NA,149.9321574,126.7241379,128.031878,NA,3.3936606,NA,3.0072537,3.864069,0.34944624,NA,2.25489E-06,NA,1.45981E-06,2.52439E-06,7.22069E-06
BRR.R5.LS,BRR,R,5,L,S,NA,127.6197896,NA,NA,130.9766327,135.9086918,NA,4.4856801,NA,NA,4.0152717,0.4200075,NA,1.51205E-06,NA,NA,1.98138E-06,4.04579E-06
BRR.R5.WA,BRR,R,5,W,A,NA,117.0526316,NA,127.8249067,124.6068152,129.4707036,NA,4.5864819,NA,3.696066,4.24375578,0.45024804,NA,3.91878E-06,NA,1.22903E-06,3.31776E-06,3.43107E-06
BRR.R5.WC,BRR,R,5,W,C,NA,117.2336449,NA,172.6907631,124.7645951,136.4381957,NA,3.7296666,NA,3.049900615,3.88422936,0.40992732,NA,1.74489E-06,NA,1.28869E-06,3.69712E-06,5.37598E-06
BRR.R5.WS,BRR,R,5,W,S,NA,134.1417323,NA,NA,110.0961538,138.6746988,NA,4.8552867,NA,NA,3.7128663,0.41664744,NA,1.35478E-06,NA,NA,8.05389E-07,3.4726E-06
