year,month,day,jd,Year-JD,Tair,T0,T80,tun15,season
2005,2,22,53,2005-53,-28.980,-8.300,-3.194,-24.550,DJF
2005,2,23,54,2005-54,-23.860,-8.320,-3.186,-23.150,DJF
2005,2,24,55,2005-55,-28.530,-8.410,-3.281,-28.300,DJF
2005,2,25,56,2005-56,-22.720,-8.220,-3.173,-22.080,DJF
2005,2,26,57,2005-57,-23.140,-8.150,-3.213,-24.980,DJF
2005,2,27,58,2005-58,-22.470,-8.040,-3.225,-23.000,DJF
2005,2,28,59,2005-59,-23.750,-7.970,-3.253,-21.960,DJF
2005,3,1,60,2005-60,-25.420,-7.970,-3.275,-23.630,MAM
2005,3,2,61,2005-61,-17.260,-7.850,-3.163,-14.590,MAM
2005,3,3,62,2005-62,-10.890,-7.710,-3.086,-12.060,MAM
2005,3,4,63,2005-63,-21.060,-7.560,-3.201,-21.450,MAM
2005,3,5,64,2005-64,-25.530,-7.300,-3.285,-25.120,MAM
2005,3,6,65,2005-65,-27.770,-7.210,-3.279,-26.680,MAM
2005,3,7,66,2005-66,-24.240,-7.330,-3.250,-23.460,MAM
2005,3,8,67,2005-67,-23.080,-7.440,-3.204,-22.730,MAM
2005,3,9,68,2005-68,-19.910,-7.430,-3.123,-19.210,MAM
2005,3,10,69,2005-69,-22.800,-7.520,-3.195,-21.440,MAM
2005,3,11,70,2005-70,-24.920,-7.570,-3.279,-24.170,MAM
2005,3,12,71,2005-71,-18.860,-7.380,-3.134,-18.150,MAM
2005,3,13,72,2005-72,-21.520,-7.310,-3.196,-20.080,MAM
2005,3,14,73,2005-73,-22.000,-7.300,-3.238,-19.860,MAM
2005,3,15,74,2005-74,-23.490,-7.230,-3.251,-21.840,MAM
2005,3,16,75,2005-75,-17.990,-7.120,-3.206,-17.480,MAM
2005,3,17,76,2005-76,-17.990,-7.050,-3.173,-16.750,MAM
2005,3,18,77,2005-77,-14.140,-6.910,-3.076,-13.600,MAM
2005,3,19,78,2005-78,-10.690,-6.851,-3.095,-9.880,MAM
2005,3,20,79,2005-79,-18.190,-6.782,-3.136,-18.120,MAM
2005,3,21,80,2005-80,-17.630,-6.625,-3.139,-17.900,MAM
2005,3,22,81,2005-81,-16.630,-6.416,-3.068,-15.500,MAM
2005,3,23,82,2005-82,-21.580,-6.337,-3.113,-21.590,MAM
2005,3,24,83,2005-83,-19.760,-6.215,-3.088,-18.240,MAM
2005,3,25,84,2005-84,-12.650,-6.033,-2.978,-12.570,MAM
2005,3,26,85,2005-85,-20.790,-6.043,-3.031,-20.760,MAM
2005,3,27,86,2005-86,-26.600,-6.053,-3.086,-25.020,MAM
2005,3,28,87,2005-87,-20.650,-5.938,-2.987,-19.770,MAM
2005,3,29,88,2005-88,-9.610,-5.932,-2.895,-8.950,MAM
2005,3,30,89,2005-89,-4.054,-6.023,-2.906,-3.749,MAM
2005,3,31,90,2005-90,-3.439,-6.007,-2.902,-4.538,MAM
2005,4,1,91,2005-91,-8.110,-5.811,-2.876,-7.350,MAM
2005,4,2,92,2005-92,-2.444,-5.566,-2.847,-0.759,MAM
2005,4,3,93,2005-93,0.816,-5.338,-2.832,1.380,MAM
2005,4,4,94,2005-94,-3.022,-4.539,-2.697,-4.210,MAM
2005,4,5,95,2005-95,-5.019,-3.799,-2.450,-4.420,MAM
2005,4,6,96,2005-96,-5.853,-3.445,-2.267,-5.300,MAM
2005,4,7,97,2005-97,-6.255,-3.283,-2.150,-5.531,MAM
2005,4,8,98,2005-98,-6.975,-3.207,-2.058,-7.500,MAM
2005,4,9,99,2005-99,-10.070,-3.170,-1.982,-10.240,MAM
2005,4,10,100,2005-100,-3.217,-3.182,-1.901,-3.157,MAM
2005,4,11,101,2005-101,1.723,-2.928,-1.831,2.784,MAM
2005,4,12,102,2005-102,-4.381,-1.743,-1.811,-4.805,MAM
2005,4,13,103,2005-103,-5.120,-1.233,-1.681,-4.936,MAM
2005,4,14,104,2005-104,-0.883,-0.991,-1.552,-0.909,MAM
2005,4,15,105,2005-105,1.585,-0.697,-1.431,2.356,MAM
2005,4,16,106,2005-106,-3.227,-0.179,-1.397,-3.811,MAM
2005,4,17,107,2005-107,-5.931,-0.161,-1.275,-5.789,MAM
2005,4,18,108,2005-108,-2.282,-0.179,-1.200,-2.904,MAM
2005,4,19,109,2005-109,-8.030,-0.170,-1.122,-8.270,MAM
2005,4,20,110,2005-110,-6.141,-0.151,-1.036,-5.398,MAM
2005,4,21,111,2005-111,-6.585,-0.184,-1.017,-6.386,MAM
2005,4,22,112,2005-112,-5.056,-0.151,-0.937,-3.465,MAM
2005,4,23,113,2005-113,-1.871,-0.115,-0.865,-0.200,MAM
2005,4,24,114,2005-114,0.695,-0.138,-0.859,0.432,MAM
2005,4,25,115,2005-115,-2.503,-0.177,-0.869,-2.495,MAM
2005,4,26,116,2005-116,-4.018,-0.183,-0.847,-3.504,MAM
2005,4,27,117,2005-117,0.112,-0.139,-0.775,0.460,MAM
2005,4,28,118,2005-118,1.585,-0.132,-0.745,1.385,MAM
2005,4,29,119,2005-119,1.150,-0.124,-0.716,0.908,MAM
2005,4,30,120,2005-120,-5.488,-0.177,-0.745,-5.660,MAM
2005,5,1,121,2005-121,-9.390,-0.150,-0.692,-9.430,MAM
2005,5,2,122,2005-122,-5.161,-0.155,-0.665,-4.470,MAM
2005,5,3,123,2005-123,-3.297,-0.163,-0.646,-2.919,MAM
2005,5,4,124,2005-124,-3.902,-0.149,-0.609,-3.205,MAM
2005,5,5,125,2005-125,-7.920,-0.175,-0.615,-7.090,MAM
2005,5,6,126,2005-126,-6.830,-0.150,-0.570,-4.960,MAM
2005,5,7,127,2005-127,0.370,-0.149,-0.553,0.649,MAM
2005,5,8,128,2005-128,-2.167,-0.162,-0.553,-2.369,MAM
2005,5,9,129,2005-129,-3.107,-0.158,-0.536,-3.670,MAM
2005,5,10,130,2005-130,-8.160,-0.155,-0.524,-7.980,MAM
2005,5,11,131,2005-131,-6.551,-0.160,-0.517,-6.277,MAM
2005,5,12,132,2005-132,0.425,-0.095,-0.442,2.528,MAM
2005,5,13,133,2005-133,-2.915,-0.181,-0.492,-3.111,MAM
2005,5,14,134,2005-134,-6.714,-0.172,-0.388,-7.000,MAM
2005,5,15,135,2005-135,-7.530,-0.164,-0.340,-6.876,MAM
2005,5,16,136,2005-136,-3.520,-0.133,-0.288,-2.356,MAM
2005,5,17,137,2005-137,0.577,-0.138,-0.281,1.389,MAM
2005,5,18,138,2005-138,0.364,-0.137,-0.272,0.019,MAM
2005,5,19,139,2005-139,-0.522,-0.144,-0.255,-0.227,MAM
2005,5,20,140,2005-140,5.198,-0.076,-0.112,6.622,MAM
2005,5,21,141,2005-141,7.440,-0.073,-0.088,7.890,MAM
2005,5,22,142,2005-142,1.957,-0.116,-0.129,2.167,MAM
2005,5,23,143,2005-143,3.597,-0.081,-0.093,2.610,MAM
2005,5,24,144,2005-144,4.544,-0.077,-0.087,4.205,MAM
2005,5,25,145,2005-145,4.359,-0.076,-0.086,2.715,MAM
2005,5,26,146,2005-146,2.025,-0.114,-0.123,1.753,MAM
2005,5,27,147,2005-147,3.840,-0.081,-0.089,3.121,MAM
2005,5,28,148,2005-148,3.110,-0.094,-0.106,2.846,MAM
2005,5,29,149,2005-149,3.599,-0.095,-0.108,3.832,MAM
2005,5,30,150,2005-150,13.690,1.671,-0.132,16.370,MAM
2005,5,31,151,2005-151,6.897,6.879,-0.060,5.582,MAM
2005,6,1,152,2005-152,2.634,6.131,-0.098,2.339,JJA
2005,6,2,153,2005-153,2.588,6.947,-0.104,1.628,JJA
2005,6,3,154,2005-154,0.813,6.496,-0.127,0.430,JJA
2005,6,4,155,2005-155,1.781,8.140,-0.117,1.856,JJA
2005,6,5,156,2005-156,0.723,5.483,-0.135,1.591,JJA
2005,6,6,157,2005-157,1.030,3.432,-0.130,0.320,JJA
2005,6,7,158,2005-158,5.534,9.870,-0.091,5.316,JJA
2005,6,8,159,2005-159,12.520,15.420,-0.131,11.070,JJA
2005,6,9,160,2005-160,14.920,18.030,-0.107,17.620,JJA
2005,6,10,161,2005-161,15.420,19.300,-0.122,5.740,JJA
2005,6,11,162,2005-162,6.805,11.790,-0.059,3.477,JJA
2005,6,12,163,2005-163,8.600,13.790,-0.065,6.974,JJA
2005,6,13,164,2005-164,6.920,10.740,-0.056,4.228,JJA
2005,6,14,165,2005-165,7.290,12.980,-0.082,6.015,JJA
2005,6,15,166,2005-166,9.590,13.190,-0.097,11.610,JJA
2005,6,16,167,2005-167,14.890,17.890,-0.102,17.270,JJA
2005,6,17,168,2005-168,18.420,21.380,-0.141,16.820,JJA
2005,6,18,169,2005-169,9.950,11.850,-0.050,10.170,JJA
2005,6,19,170,2005-170,4.535,4.836,-0.092,5.909,JJA
2005,6,20,171,2005-171,4.958,5.923,-0.079,5.483,JJA
2005,6,21,172,2005-172,11.730,13.180,-0.072,12.530,JJA
2005,6,22,173,2005-173,8.440,7.680,-0.055,8.880,JJA
2005,6,23,174,2005-174,4.948,5.003,-0.081,6.469,JJA
2005,6,24,175,2005-175,7.540,7.890,-0.065,8.670,JJA
2005,6,25,176,2005-176,12.690,15.260,-0.074,13.030,JJA
2005,6,26,177,2005-177,9.190,12.580,-0.054,8.580,JJA
2005,6,27,178,2005-178,11.450,16.690,-0.078,12.080,JJA
2005,6,28,179,2005-179,16.150,19.260,-0.115,16.120,JJA
2005,6,29,180,2005-180,9.320,14.500,-0.054,9.470,JJA
2005,6,30,181,2005-181,7.140,8.970,-0.056,8.480,JJA
2005,7,1,182,2005-182,13.550,15.990,-0.138,13.690,JJA
2005,7,2,183,2005-183,11.460,14.080,-0.032,10.740,JJA
2005,7,3,184,2005-184,7.910,11.800,0.014,6.624,JJA
2005,7,4,185,2005-185,12.430,15.780,0.050,13.910,JJA
2005,7,5,186,2005-186,19.300,21.360,0.096,20.730,JJA
2005,7,6,187,2005-187,21.890,23.640,0.207,22.430,JJA
2005,7,7,188,2005-188,16.670,16.600,0.482,16.570,JJA
2005,7,8,189,2005-189,22.150,20.390,0.856,22.090,JJA
2005,7,9,190,2005-190,20.440,20.910,1.180,21.240,JJA
2005,7,10,191,2005-191,21.940,20.340,1.376,22.050,JJA
2005,7,11,192,2005-192,20.100,20.550,1.629,21.940,JJA
2005,7,12,193,2005-193,18.880,17.850,1.828,21.570,JJA
2005,7,13,194,2005-194,21.810,22.440,1.935,22.860,JJA
2005,7,14,195,2005-195,17.650,17.140,2.126,19.030,JJA
2005,7,15,196,2005-196,16.350,15.910,2.419,16.140,JJA
2005,7,16,197,2005-197,14.210,14.130,2.773,12.880,JJA
2005,7,17,198,2005-198,7.490,7.450,2.839,7.850,JJA
2005,7,18,199,2005-199,6.646,6.780,2.719,7.200,JJA
2005,7,19,200,2005-200,7.510,6.305,2.540,9.190,JJA
2005,7,20,201,2005-201,11.110,11.480,2.428,11.360,JJA
2005,7,21,202,2005-202,12.020,11.220,2.409,12.090,JJA
2005,7,22,203,2005-203,12.420,12.180,2.377,13.370,JJA
2005,7,23,204,2005-204,11.450,11.460,2.367,13.030,JJA
2005,7,24,205,2005-205,9.170,9.150,2.347,9.830,JJA
2005,7,25,206,2005-206,7.980,7.700,2.298,9.400,JJA
2005,7,26,207,2005-207,9.820,11.270,2.212,11.770,JJA
2005,7,27,208,2005-208,9.700,9.660,2.178,10.570,JJA
2005,7,28,209,2005-209,12.690,13.500,2.141,13.150,JJA
2005,7,29,210,2005-210,16.800,18.790,2.086,17.640,JJA
2005,7,30,211,2005-211,17.490,17.920,2.164,17.760,JJA
2005,7,31,212,2005-212,14.570,17.770,2.325,14.400,JJA
2005,8,1,213,2005-213,13.270,14.110,2.491,13.910,JJA
2005,8,2,214,2005-214,15.030,15.760,2.577,16.750,JJA
2005,8,3,215,2005-215,19.120,17.800,2.623,19.510,JJA
2005,8,4,216,2005-216,12.990,13.400,2.860,12.740,JJA
2005,8,5,217,2005-217,16.050,17.210,2.919,15.840,JJA
2005,8,6,218,2005-218,11.660,10.890,3.020,12.540,JJA
2005,8,7,219,2005-219,13.540,12.670,3.013,14.440,JJA
2005,8,8,220,2005-220,11.430,11.040,3.026,11.970,JJA
2005,8,9,221,2005-221,10.020,8.990,3.034,11.110,JJA
2005,8,10,222,2005-222,10.570,9.900,3.016,11.390,JJA
2005,8,11,223,2005-223,11.600,10.730,2.956,12.160,JJA
2005,8,12,224,2005-224,10.240,9.990,2.935,11.510,JJA
2005,8,13,225,2005-225,12.400,13.960,2.896,13.520,JJA
2005,8,14,226,2005-226,13.420,14.670,2.898,13.390,JJA
2005,8,15,227,2005-227,9.330,9.290,2.966,10.320,JJA
2005,8,16,228,2005-228,9.040,9.280,3.073,9.510,JJA
2005,8,17,229,2005-229,11.370,10.340,3.075,11.020,JJA
2005,8,18,230,2005-230,10.090,11.590,3.065,11.710,JJA
2005,8,19,231,2005-231,9.820,10.730,3.075,10.970,JJA
2005,8,20,232,2005-232,11.720,12.330,3.040,11.960,JJA
2005,8,21,233,2005-233,14.080,14.750,2.983,15.660,JJA
2005,8,22,234,2005-234,16.720,17.400,2.997,18.310,JJA
2005,8,23,235,2005-235,16.770,18.130,3.074,16.760,JJA
2005,8,24,236,2005-236,14.280,14.500,3.240,14.350,JJA
2005,8,25,237,2005-237,11.140,11.490,3.351,11.910,JJA
2005,8,26,238,2005-238,10.060,10.220,3.389,11.070,JJA
2005,8,27,239,2005-239,10.050,10.030,3.373,10.570,JJA
2005,8,28,240,2005-240,9.860,9.910,3.308,10.170,JJA
2005,8,29,241,2005-241,12.600,13.020,3.231,13.860,JJA
2005,8,30,242,2005-242,17.250,17.460,3.183,19.010,JJA
2005,8,31,243,2005-243,13.490,14.060,3.317,13.660,JJA
2005,9,1,244,2005-244,9.390,9.590,3.450,9.940,SON
2005,9,2,245,2005-245,7.520,7.070,3.446,8.440,SON
2005,9,3,246,2005-246,7.710,5.833,3.399,8.600,SON
2005,9,4,247,2005-247,11.250,10.910,3.360,11.480,SON
2005,9,5,248,2005-248,13.460,10.770,3.299,14.330,SON
2005,9,6,249,2005-249,8.750,8.280,3.373,9.460,SON
2005,9,7,250,2005-250,3.863,3.166,3.270,8.540,SON
2005,9,8,251,2005-251,9.190,7.954,3.303,10.060,SON
2005,9,9,252,2005-252,13.090,11.460,3.230,14.170,SON
2005,9,10,253,2005-253,14.680,12.889,3.165,13.980,SON
2005,9,11,254,2005-254,8.320,7.172,3.250,8.740,SON
2005,9,12,255,2005-255,7.359,6.308,,7.750,SON
2005,9,13,256,2005-256,6.598,5.624,,7.010,SON
2005,9,14,257,2005-257,4.413,3.660,,4.886,SON
2005,9,15,258,2005-258,5.241,4.404,,5.691,SON
2005,9,16,259,2005-259,7.658,6.577,,8.040,SON
2005,9,17,260,2005-260,4.747,3.960,,5.211,SON
2005,9,18,261,2005-261,8.645,7.464,,9.000,SON
2005,9,19,262,2005-262,7.277,6.234,,7.670,SON
2005,9,20,263,2005-263,9.100,7.873,2.458,8.270,SON
2005,9,21,264,2005-264,4.570,3.801,,5.039,SON
2005,9,22,265,2005-265,2.452,1.897,,2.980,SON
2005,9,23,266,2005-266,4.639,3.863,2.246,3.346,SON
2005,9,24,267,2005-267,4.754,3.967,2.143,5.557,SON
2005,9,25,268,2005-268,2.483,1.925,2.011,3.501,SON
2005,9,26,269,2005-269,3.443,2.788,1.944,4.348,SON
2005,9,27,270,2005-270,4.752,3.965,1.882,5.844,SON
2005,9,28,271,2005-271,3.832,3.138,1.807,5.257,SON
2005,9,29,272,2005-272,3.241,2.606,1.750,4.375,SON
2005,9,30,273,2005-273,4.722,3.938,1.723,5.448,SON
2005,10,1,274,2005-274,-0.016,-0.218,1.597,1.228,SON
2005,10,2,275,2005-275,0.836,0.268,1.555,2.242,SON
2005,10,3,276,2005-276,0.701,0.191,1.432,1.473,SON
2005,10,4,277,2005-277,-2.583,-1.682,1.298,-1.169,SON
2005,10,5,278,2005-278,-4.874,-2.989,1.199,-3.102,SON
2005,10,6,279,2005-279,-2.939,-1.885,1.084,-2.160,SON
2005,10,7,280,2005-280,0.970,0.344,0.968,2.136,SON
2005,10,8,281,2005-281,2.393,1.156,0.843,3.298,SON
2005,10,9,282,2005-282,4.573,2.399,0.759,5.197,SON
2005,10,10,283,2005-283,5.086,2.691,0.656,6.576,SON
2005,10,11,284,2005-284,6.537,3.519,0.616,8.570,SON
2005,10,12,285,2005-285,5.231,2.774,0.619,5.424,SON
2005,10,13,286,2005-286,3.254,1.647,0.652,3.584,SON
2005,10,14,287,2005-287,4.337,2.264,0.703,4.599,SON
2005,10,15,288,2005-288,-2.046,-1.376,0.650,-1.089,SON
2005,10,16,289,2005-289,-1.199,-0.893,0.651,-0.639,SON
2005,10,17,290,2005-290,1.569,0.686,0.610,2.578,SON
2005,10,18,291,2005-291,-1.386,-1.000,0.493,0.241,SON
2005,10,19,292,2005-292,-3.656,-2.294,0.421,-2.847,SON
2005,10,20,293,2005-293,-3.414,-2.156,0.358,-2.375,SON
2005,10,21,294,2005-294,-0.998,-0.778,0.317,0.435,SON
2005,10,22,295,2005-295,1.282,0.522,0.275,2.151,SON
2005,10,23,296,2005-296,0.247,-0.068,0.201,1.737,SON
2005,10,24,297,2005-297,1.405,0.592,0.170,2.462,SON
2005,10,25,298,2005-298,1.443,0.614,0.125,2.012,SON
2005,10,26,299,2005-299,2.405,1.162,0.109,3.980,SON
2005,10,27,300,2005-300,3.554,1.818,0.099,4.654,SON
2005,10,28,301,2005-301,1.544,0.671,0.060,3.275,SON
2005,10,29,302,2005-302,-1.423,-1.021,0.017,0.174,SON
2005,10,30,303,2005-303,-3.961,-2.468,-0.001,-3.306,SON
2005,10,31,304,2005-304,-2.373,-1.563,-0.013,-1.680,SON
2005,11,1,305,2005-305,-0.951,-1.058,-0.029,-0.194,SON
2005,11,2,306,2005-306,-2.995,-1.672,-0.055,-1.409,SON
2005,11,3,307,2005-307,-4.374,-2.087,-0.063,-3.436,SON
2005,11,4,308,2005-308,-4.409,-2.097,-0.075,-3.159,SON
2005,11,5,309,2005-309,-3.412,-1.798,-0.098,-2.526,SON
2005,11,6,310,2005-310,-0.754,-0.999,-0.110,-0.272,SON
2005,11,7,311,2005-311,-1.020,-1.079,-0.122,-0.573,SON
2005,11,8,312,2005-312,-1.973,-1.365,-0.139,-1.742,SON
