year,month,day,jd,Year-JD,Tair,T0,T80,tun15,season,ppa80
2005,10,8,281,2005-281,3.206,2.596,,3.298,SON,-0.488
2005,10,9,282,2005-282,5.436,4.808,,5.197,SON,-0.47
2005,10,10,283,2005-283,5.722,4.681,,6.576,SON,-0.46
2005,10,11,284,2005-284,6.787,5.786,,8.57,SON,-0.39
2005,10,12,285,2005-285,6.528,5.995,,5.424,SON,-0.369
2005,10,13,286,2005-286,3.908,3.83,,3.584,SON,-0.475
2005,10,14,287,2005-287,5.482,5.242,,4.599,SON,-0.436
2005,10,15,288,2005-288,-1.991,-2.05,,-1.089,SON,-0.588
2005,10,16,289,2005-289,-1.432,-1.546,,-0.639,SON,-0.624
2005,10,17,290,2005-290,1.542,0.204,,2.578,SON,-0.52
2005,10,18,291,2005-291,-0.678,-1.714,,0.241,SON,-0.556
2005,10,19,292,2005-292,-3.208,-3.84,,-2.847,SON,-0.644
2005,10,20,293,2005-293,-4.554,-6.545,,-2.375,SON,-0.659
2005,10,21,294,2005-294,-1.736,-3.847,,0.435,SON,-0.61
2005,10,22,295,2005-295,1.518,1.307,,2.151,SON,-0.52
2005,10,23,296,2005-296,0.069,-0.347,,1.737,SON,-0.518
2005,10,24,297,2005-297,1.846,1.443,,2.462,SON,-0.515
2005,10,25,298,2005-298,1.893,0.25,,2.012,SON,-0.466
2005,10,26,299,2005-299,2.77,1.43,,3.98,SON,-0.464
2005,10,27,300,2005-300,3.142,1.618,,4.654,SON,-0.399
2005,10,28,301,2005-301,0.844,-0.682,,3.275,SON,-0.467
2005,10,29,302,2005-302,-0.168,-1.559,,0.174,SON,-0.539
2005,10,30,303,2005-303,-3.286,-4.229,,-3.306,SON,-0.617
2005,10,31,304,2005-304,-2.353,-2.791,,-1.68,SON,-0.647
2005,11,1,305,2005-305,-0.434,-0.483,,-0.194,SON,-0.548
2005,11,2,306,2005-306,-1.863,-1.42,,-1.409,SON,-0.561
2005,11,3,307,2005-307,-4.755,-3.772,,-3.436,SON,-0.58
2005,11,4,308,2005-308,-4.016,-4.129,,-3.159,SON,-0.661
2005,11,5,309,2005-309,-3.434,-3.67,,-2.526,SON,-0.628
2005,11,6,310,2005-310,-1.712,-2.464,,-0.272,SON,-0.607
2005,11,7,311,2005-311,-2.15,-2.352,,-0.573,SON,-0.566
2005,11,8,312,2005-312,-2.394,-2.235,,-1.742,SON,-0.615
2005,11,9,313,2005-313,-3.099,-1.905,,-2.351,SON,-0.629
2005,11,10,314,2005-314,-2.609,-2.4,,-2.254,SON,-0.644
2005,11,11,315,2005-315,-0.007,-0.611,,0.734,SON,-0.556
2005,11,12,316,2005-316,-1.2,-3.079,,-1.756,SON,-0.577
2005,11,13,317,2005-317,-10.87,-10.71,,-10.54,SON,-0.628
2005,11,14,318,2005-318,-15.37,-14.59,,-12.35,SON,-0.664
2005,11,15,319,2005-319,-14.79,-13.03,,-14.19,SON,-0.687
2005,11,16,320,2005-320,-21.25,-20.09,,-17.44,SON,-0.845
2005,11,17,321,2005-321,-14.83,-12.69,,-13.39,SON,-0.756
2005,11,18,322,2005-322,-13.41,-11.48,,-11.27,SON,-0.746
2005,11,19,323,2005-323,-12.01,-10.05,,-11.24,SON,-0.801
2005,11,20,324,2005-324,-5.069,-5.208,,-6.893,SON,-0.634
2005,11,21,325,2005-325,-21.15,-20.16,,-18.73,SON,-0.779
2005,11,22,326,2005-326,-20.91,-17.97,,-18.92,SON,-0.756
2005,11,23,327,2005-327,-19.73,-18.88,,-15.96,SON,-0.88
2005,11,24,328,2005-328,-18.36,-12.82,,-16.15,SON,-0.675
2005,11,25,329,2005-329,-17.76,-13.23,,-16.26,SON,-0.699
2005,11,26,330,2005-330,-12.65,-8.88,,-11.11,SON,-0.723
2005,11,27,331,2005-331,-12.37,-8.56,,-9.05,SON,-0.675
2005,11,28,332,2005-332,-11.52,-8.91,,-9.22,SON,-0.724
2005,11,29,333,2005-333,-11.05,-7.31,,-7.35,SON,-0.695
2005,11,30,334,2005-334,-13.21,-7.25,,-7.84,SON,-0.669
2005,12,1,335,2005-335,-16.18,-10.24,,-14.3,DJF,-0.682
2005,12,2,336,2005-336,-18.85,-12.4,,-16.05,DJF,-0.775
2005,12,3,337,2005-337,-17.03,-9.48,,-15.23,DJF,-0.871
2005,12,4,338,2005-338,-13.84,-8.12,,-13.06,DJF,-1.13
2005,12,5,339,2005-339,-14.94,-5.623,,-15.8,DJF,-1.425
2005,12,6,340,2005-340,-20.53,-8.04,,-20.56,DJF,-1.882
2005,12,7,341,2005-341,-20.98,-10.33,,-19.77,DJF,-2.511
2005,12,8,342,2005-342,-20.3,-10.15,,-20.54,DJF,-3.076
2005,12,9,343,2005-343,-26.09,-16.71,,-26.83,DJF,-0.230304504
2005,12,10,344,2005-344,-27.03,-15.12,,-25.55,DJF,-0.022048108
2005,12,11,345,2005-345,-28.18,-18.7,,-25.32,DJF,-5.156
2005,12,12,346,2005-346,-25.75,-17.22,,-24.93,DJF,-5.885
2005,12,13,347,2005-347,-23.06,-15.74,,-18.6,DJF,-6.521
2005,12,14,348,2005-348,-17.47,-8.58,,-16.41,DJF,-6.713
2005,12,15,349,2005-349,-14.57,-5.666,,-15.35,DJF,-6.969
2005,12,16,350,2005-350,-17.79,-5.329,,-19.28,DJF,-6.993
2005,12,17,351,2005-351,-25.68,-9.37,,-22.61,DJF,-7.31
2005,12,18,352,2005-352,-12.23,-10.36,,-8.89,DJF,-7.43
2005,12,19,353,2005-353,-16.61,-8.53,,-16.76,DJF,-7.39
2005,12,20,354,2005-354,-19.09,-12.17,,-18.46,DJF,-7.46
2005,12,21,355,2005-355,-21.53,-13,,-20.36,DJF,-7.7
2005,12,22,356,2005-356,-23.02,-10.5,,-22.416,DJF,-7.83
2005,12,23,357,2005-357,-19.78,-9.27,,-22.276,DJF,-8.16
2005,12,24,358,2005-358,-22.86,-9.07,,-23.521,DJF,-8.5
2005,12,25,359,2005-359,-16.49,-6.799,,-17.498,DJF,-8.81
2005,12,26,360,2005-360,-10.42,-4.916,,-10.559,DJF,-8.88
2005,12,27,361,2005-361,-18.84,-5.578,,-21.11,DJF,-8.52
2005,12,28,362,2005-362,-21.01,-7.68,,-18.99,DJF,-8.5
2005,12,29,363,2005-363,-18.76,-7.7,,-17.91,DJF,-8.66
2005,12,30,364,2005-364,-13.01,-5.157,,-11.01,DJF,-8.65
2005,12,31,365,2005-365,-11.67,-4.603,,-12.6,DJF,-8.44
2006,1,1,1,06-Jan,-20.3,-5.541,,-16.82,DJF,-8.24
2006,1,2,2,06-Feb,-17.94,-6.535,,-16.422,DJF,-8.28
2006,1,3,3,06-Mar,-10.39,-4.024,,-10.698,DJF,-8.2
2006,1,4,4,06-Apr,-16.57,-4.277,,-16.93,DJF,-7.86
2006,1,5,5,06-May,-21.66,-5.969,,-19.34,DJF,-7.84
2006,1,6,6,06-Jun,-14.55,-5.089,,-14.929,DJF,-7.89
2006,1,7,7,06-Jul,-17.26,-4.809,,-17.687,DJF,-7.84
2006,1,8,8,06-Aug,-21.55,-5.121,,-21.092,DJF,-7.68
2006,1,9,9,06-Sep,-22.76,-6.343,,-22.854,DJF,-7.74
2006,1,10,10,06-Oct,-30.47,-6.7,,-27.71,DJF,-7.66
2006,1,11,11,06-Nov,-21.73,-6.822,,-21.15,DJF,-7.89
2006,1,12,12,06-Dec,-16.88,-5.04,,-17.66,DJF,-8.02
2006,1,13,13,2006-13,-20.87,-4.404,,-20.33,DJF,-8.22
2006,1,14,14,2006-14,-30.44,-6.348,,-29.7,DJF,-8.27
2006,1,15,15,2006-15,-28.47,-8.36,,-25.61,DJF,-8.69
2006,1,16,16,2006-16,-19.84,-6.35,,-17.34,DJF,-8.98
2006,1,17,17,2006-17,-15.84,-4.726,,-14.89,DJF,-9.13
2006,1,18,18,2006-18,-21.99,-4.877,,-21.21,DJF,-9.21
2006,1,19,19,2006-19,-24.1,-6.148,,-23.25,DJF,-9.25
2006,1,20,20,2006-20,-27.58,-7.29,,-27.12,DJF,-9.73
2006,1,21,21,2006-21,-26.7,-8.43,,-24.86,DJF,-9.94
2006,1,22,22,2006-22,-21.52,-8.99,,-19.64,DJF,-10.03
2006,1,23,23,2006-23,-13.58,-6.595,,-16.28,DJF,-10.04
2006,1,24,24,2006-24,-17.86,-7.37,,-17.33,DJF,-10.02
2006,1,25,25,2006-25,-21.73,-9.83,,-22.12,DJF,-9.96
2006,1,26,26,2006-26,-12.06,-8.01,,-12.93,DJF,-9.85
2006,1,27,27,2006-27,-18.25,-8.26,,-17.99,DJF,-9.86
2006,1,28,28,2006-28,-29.35,-14.54,,-27.48,DJF,-10.02
2006,1,29,29,2006-29,-19.31,-10.94,,-19.25,DJF,-10.29
2006,1,30,30,2006-30,-16.61,-7.58,,-15.86,DJF,-10.43
2006,1,31,31,2006-31,-11.67,-6.281,,-9.05,DJF,-10.31
2006,2,1,32,2006-32,-15.7,-6.764,,-9.227,DJF,-10.2
2006,2,2,33,2006-33,-17.03,-7.18,,-17.39,DJF,-10.02
2006,2,3,34,2006-34,-23.27,-8.63,,-20.86,DJF,-9.86
2006,2,4,35,2006-35,-22.03,-10.17,,-17.51,DJF,-10.06
2006,2,5,36,2006-36,-12.96,-7.08,,-11.58,DJF,-9.97
2006,2,6,37,2006-37,-16.24,-6.852,,-12.58,DJF,-9.88
2006,2,7,38,2006-38,-15.94,-7.58,,-15.47,DJF,-9.63
2006,2,8,39,2006-39,-16.67,-8.64,,-13.73,DJF,-9.54
2006,2,9,40,2006-40,-15.19,-8.66,,-10.24,DJF,-9.49
2006,2,10,41,2006-41,-12.41,-7.23,,-10.79,DJF,-9.45
2006,2,11,42,2006-42,-15.66,-8.37,,-15.21,DJF,-9.34
2006,2,12,43,2006-43,-26.32,-12.6,,-24.55,DJF,-9.64
2006,2,13,44,2006-44,-30.34,-14.6,,-28.28,DJF,-7.291491944
2006,2,14,45,2006-45,-32.18,-15.23,,-28.94,DJF,-7.63859405
2006,2,15,46,2006-46,-35.28,-15.87,,-28.23,DJF,-11.17
2006,2,16,47,2006-47,-31.08,-15.84,,-26.95,DJF,-11.86
2006,2,17,48,2006-48,-25.52,-14.84,,-21.86,DJF,-12.28
2006,2,18,49,2006-49,-20.38,-13.48,,-16.84,DJF,-12.37
2006,2,19,50,2006-50,-15.18,-9.32,,-14.83,DJF,-12.19
2006,2,20,51,2006-51,-17.2,-9.27,,-15.53,DJF,-11.98
2006,2,21,52,2006-52,-15.1,-9.54,,-15.15,DJF,-11.62
2006,2,22,53,2006-53,-21.31,-9.58,,-21.17,DJF,-11.47
2006,2,23,54,2006-54,-22.53,-10.7,,-22.06,DJF,-11.39
2006,2,24,55,2006-55,-28.43,-12.35,,-26.72,DJF,-11.71
2006,2,25,56,2006-56,-27.55,-13.62,,-25.86,DJF,-11.99
2006,2,26,57,2006-57,-31.4,-14.34,,-27.91,DJF,-12.35
2006,2,27,58,2006-58,-31.37,-14.99,,-28.65,DJF,-12.66
2006,2,28,59,2006-59,-24.68,-14.62,,-22.09,DJF,-13.04
2006,3,1,60,2006-60,-16.91,-11.12,,-16.02,MAM,-13.05
2006,3,2,61,2006-61,-15.95,-10.08,,-14.3,MAM,-12.83
2006,3,3,62,2006-62,-17.9,-9.91,,-16.73,MAM,-12.51
2006,3,4,63,2006-63,-15.74,-7.97,,-12.98,MAM,-12.09
2006,3,5,64,2006-64,-18.8,-8.79,,-10.49,MAM,-11.75
2006,3,6,65,2006-65,-12.87,-7.7,,-10.16,MAM,-11.31
2006,3,7,66,2006-66,-7.22,-6.582,,-8.31,MAM,-11
2006,3,8,67,2006-67,-5.87,-5.01,,-6.277,MAM,-10.61
2006,3,9,68,2006-68,-8.96,-5.341,,-8.76,MAM,-10.23
2006,3,10,69,2006-69,-11.54,-5.553,,-12.1,MAM,-9.84
2006,3,11,70,2006-70,-17.44,-6.833,,-15.77,MAM,-9.65
2006,3,12,71,2006-71,-15.13,-6.927,,-15.7,MAM,-9.53
2006,3,13,72,2006-72,-15.41,-6.478,,-17.05,MAM,-9.48
2006,3,14,73,2006-73,-19.46,-6.276,,-17.19,MAM,-9.51
2006,3,15,74,2006-74,-22.14,-7.19,,-18.43,MAM,-9.63
2006,3,16,75,2006-75,-21.71,-7.54,,-17.75,MAM,-9.68
2006,3,17,76,2006-76,-21.63,-7.62,,-17.46,MAM,-9.73
2006,3,18,77,2006-77,-22.18,-8.07,,-17.54,MAM,-9.84
2006,3,19,78,2006-78,-20.77,-8.33,,-16.91,MAM,-9.96
2006,3,20,79,2006-79,-15.88,-7.47,,-13.57,MAM,-9.92
2006,3,21,80,2006-80,-17.2,-7.2,,-12.63,MAM,-9.88
2006,3,22,81,2006-81,-18.18,-7.62,,-13.5,MAM,-9.7
2006,3,23,82,2006-82,-13.68,-7.01,,-8.86,MAM,-9.64
2006,3,24,83,2006-83,-10.16,-6.268,,-8.75,MAM,-9.55
2006,3,25,84,2006-84,-8.23,-5.878,,-7.66,MAM,-9.32
2006,3,26,85,2006-85,-4.891,-4.839,,-5.123,MAM,-9.02
2006,3,27,86,2006-86,-2.811,-4.149,,-2.969,MAM,-9.04
2006,3,28,87,2006-87,-1.713,-1.364,,-4.614,MAM,-8.71
2006,3,29,88,2006-88,-11.72,-4.764,,-12.49,MAM,-8.47
2006,3,30,89,2006-89,-11.67,-5.581,,-12.69,MAM,-8.21
2006,3,31,90,2006-90,-6.194,-5.781,,-5.168,MAM,-8.09
2006,4,1,91,2006-91,-1.909,-3.818,,-0.018,MAM,-7.91
2006,4,2,92,2006-92,-6.146,-1.935,,-8.25,MAM,-7.79
2006,4,3,93,2006-93,-10.58,-5.47,,-8.54,MAM,-7.37
2006,4,4,94,2006-94,-2.827,-4.027,,-0.947,MAM,-7.31
2006,4,5,95,2006-95,-10.19,-1.439,,-14.27,MAM,-7.21
2006,4,6,96,2006-96,-14.86,-7.63,,-12.98,MAM,-7.2
2006,4,7,97,2006-97,-11.17,-5.782,,-11.51,MAM,-7.36
2006,4,8,98,2006-98,-4.598,-4.882,,-3.746,MAM,-7.52
2006,4,9,99,2006-99,-6.314,-1.917,,-10.02,MAM,-7.38
2006,4,10,100,2006-100,-4.099,-3.217,,-5.355,MAM,-7.16
2006,4,11,101,2006-101,2.39,0.46,,0.444,MAM,-6.947
2006,4,12,102,2006-102,-7.96,-1.178,,-10.65,MAM,-6.324
2006,4,13,103,2006-103,-4.87,-4.09,,-7.88,MAM,-6.145
2006,4,14,104,2006-104,-2.062,-1.801,,-3.578,MAM,-6.16
2006,4,15,105,2006-105,1.023,1.638,,0.898,MAM,-6.004
2006,4,16,106,2006-106,3.37,3.34,,2.752,MAM,-5.755
2006,4,17,107,2006-107,1.647,2.448,,0.477,MAM,-5.404
2006,4,18,108,2006-108,1.068,1.531,,-0.636,MAM,-5.091
2006,4,19,109,2006-109,-0.725,1.27,,-1.203,MAM,-4.611
2006,4,20,110,2006-110,4.613,5.734,,2.497,MAM,-4.493
2006,4,21,111,2006-111,7.63,8.45,,1.91,MAM,-4.39
2006,4,22,112,2006-112,7,8.92,,3.754,MAM,-4.03
2006,4,23,113,2006-113,0.608,0.737,,-1.53,MAM,-3.972
2006,4,24,114,2006-114,-3.527,-3.677,,-4.799,MAM,-4.044
2006,4,25,115,2006-115,-3.976,-3.093,,-6.604,MAM,-3.899
2006,4,26,116,2006-116,-7.59,-6.041,,-9.51,MAM,-3.932
2006,4,27,117,2006-117,1.515,1.713,,2.034,MAM,-3.961
2006,4,28,118,2006-118,3.103,4.387,,0.106,MAM,-3.798
2006,4,29,119,2006-119,7.15,8.45,,4.674,MAM,-3.803
2006,4,30,120,2006-120,9.76,11.68,,4.132,MAM,-3.551
2006,5,1,121,2006-121,9.67,11.05,,2.361,MAM,-3.513
2006,5,2,122,2006-122,6.862,8.78,,1.428,MAM,-3.416
2006,5,3,123,2006-123,-1.645,-1.368,,-3.255,MAM,-3.346
2006,5,4,124,2006-124,-5.276,-3.762,,-6.944,MAM,-3.447
2006,5,5,125,2006-125,-4.707,-2.638,,-5.711,MAM,-3.308
2006,5,6,126,2006-126,-3.632,-0.548,,-3.965,MAM,-3.225
2006,5,7,127,2006-127,-1.238,0.203,,-2.911,MAM,-3.313
2006,5,8,128,2006-128,-2.23,-0.742,,-3.716,MAM,-3.296
2006,5,9,129,2006-129,-3.618,-2.097,,-4.462,MAM,-3.332
2006,5,10,130,2006-130,-0.349,0.71,,-0.413,MAM,-3.321
2006,5,11,131,2006-131,4.46,5.649,,2.653,MAM,-3.256
2006,5,12,132,2006-132,7.59,8.87,,5.479,MAM,-3.123
2006,5,13,133,2006-133,5.117,6.513,,4.485,MAM,-3.031
2006,5,14,134,2006-134,1.574,2.006,,0.656,MAM,-2.945
2006,5,15,135,2006-135,0.648,1.197,,1.28,MAM,-2.819
2006,5,16,136,2006-136,3.337,4.186,,3.05,MAM,-2.766
2006,5,17,137,2006-137,2.528,3.17,,1.681,MAM,-2.805
2006,5,18,138,2006-138,2.966,4.462,,1.53,MAM,-2.723
2006,5,19,139,2006-139,2.226,3.387,,0.933,MAM,-2.692
2006,5,20,140,2006-140,-0.124,0.246,,-0.184,MAM,-2.651
2006,5,21,141,2006-141,4.082,6.15,,0.779,MAM,-2.49
2006,5,22,142,2006-142,5.668,7.21,,3.868,MAM,-2.413
2006,5,23,143,2006-143,15.39,17.64,,8.8,MAM,-2.471
2006,5,24,144,2006-144,2.251,3.579,,0.701,MAM,-2.43
2006,5,25,145,2006-145,-0.027,1.253,,-0.108,MAM,-2.42
2006,5,26,146,2006-146,1.642,4.354,,0.599,MAM,-2.286
2006,5,27,147,2006-147,4.86,7.77,,3.975,MAM,-2.243
2006,5,28,148,2006-148,3.79,6.547,,4.31,MAM,-2.196
2006,5,29,149,2006-149,1.252,1.617,,1.484,MAM,-2.229
2006,5,30,150,2006-150,9.44,9.97,,6.458,MAM,-2.221
2006,5,31,151,2006-151,6.977,8.04,,5.034,MAM,-2.169
2006,6,1,152,2006-152,12.77,14.42,,11.21,JJA,-0.706871182
2006,6,2,153,2006-153,14.14,16.94,,7.95,JJA,-0.779105944
2006,6,3,154,2006-154,16.27,17.73,,6.797,JJA,-0.734076482
2006,6,4,155,2006-155,6.466,6.888,,2.88,JJA,-2.047
2006,6,5,156,2006-156,17.76,20.04,,12.32,JJA,-0.630883964
2006,6,6,157,2006-157,10.49,12.55,,7.79,JJA,-0.682480223
2006,6,7,158,2006-158,3.923,4.202,,2.317,JJA,-1.935
2006,6,8,159,2006-159,8.32,9.4,,6.755,JJA,-0.556772974
2006,6,9,160,2006-160,12.35,14.6,,11.72,JJA,-0.486414439
2006,6,10,161,2006-161,15.22,17.58,,15.76,JJA,-0.487352553
2006,6,11,162,2006-162,15.82,17.14,,9.88,JJA,-0.533320129
2006,6,12,163,2006-163,14.93,17.82,,7.95,JJA,-0.426375156
2006,6,13,164,2006-164,18.78,20.46,,19.03,JJA,-0.315677727
2006,6,14,165,2006-165,22.15,23.74,,22.59,JJA,-0.308172817
2006,6,15,166,2006-166,23.44,24.91,,19,JJA,-0.231247485
2006,6,16,167,2006-167,10.34,12.85,,4.987,JJA,-0.466714049
2006,6,17,168,2006-168,9.92,12.81,,10.7,JJA,-0.44232309
2006,6,18,169,2006-169,10.02,11.78,,7.07,JJA,-0.362583417
2006,6,19,170,2006-170,16.28,18.978,,16.88,JJA,-0.250947875
2006,6,20,171,2006-171,12.51,13.81,,8.98,JJA,-0.344759255
2006,6,21,172,2006-172,6.076,8.05,,6.172,JJA,-0.237814282
2006,6,22,173,2006-173,8.13,9.13,,7.11,JJA,-0.250947875
2006,6,23,174,2006-174,10.22,14.73,,9.8,JJA,-0.185279909
2006,6,24,175,2006-175,14.73,16.83,,15.74,JJA,-0.26689581
2006,6,25,176,2006-176,17.8,16.6,,17.09,JJA,-0.183403681
2006,6,26,177,2006-177,12.78,14.82,,10.56,JJA,-1.394
2006,6,27,178,2006-178,10.54,11.42,,7.56,JJA,-1.342
2006,6,28,179,2006-179,9.5,14.63,,10.51,JJA,-1.377
2006,6,29,180,2006-180,10.52,16.71,,11.82,JJA,-1.37
2006,6,30,181,2006-181,15.5,15.09,,16.38,JJA,-1.269
2006,7,1,182,2006-182,17.15,16.9,,15.11,JJA,-1.271
2006,7,2,183,2006-183,10.93,12.86,,5.182,JJA,-1.266
2006,7,3,184,2006-184,9.02,11.34,,9,JJA,-1.367
2006,7,4,185,2006-185,17.1,20.9,,19.19,JJA,-1.377
2006,7,5,186,2006-186,17.57,19.5,,11.25,JJA,-1.1
2006,7,6,187,2006-187,9.69,11.52,,10.58,JJA,-1.161
2006,7,7,188,2006-188,11.89,16.12,,11.47,JJA,-1.14
2006,7,8,189,2006-189,9.39,12.98,,11.64,JJA,-1.329
2006,7,9,190,2006-190,14.72,18.38,,12.08,JJA,-1.075
2006,7,10,191,2006-191,11.56,17.17,,10.41,JJA,-1.13
2006,7,11,192,2006-192,10.97,13.43,,12.18,JJA,-1.246
2006,7,12,193,2006-193,15.73,19.99,,8.24,JJA,-1.109
2006,7,13,194,2006-194,10.9,16.85,,8.24,JJA,-1.052
2006,7,14,195,2006-195,12.68,12.16,,7.14,JJA,-1.051
2006,7,15,196,2006-196,16.47,15.92,,14,JJA,-1.037
2006,7,16,197,2006-197,16.11,16.91,,16.33,JJA,-0.975
2006,7,17,198,2006-198,17.99,19.59,,17.98,JJA,-0.997
2006,7,18,199,2006-199,16.66,16.12,,17.16,JJA,-0.917
2006,7,19,200,2006-200,14.3,17.71,,15.17,JJA,-0.983
2006,7,20,201,2006-201,14.4,13.46,,16.53,JJA,-0.89
2006,7,21,202,2006-202,18.08,19.2,,18.68,JJA,-0.957
2006,7,22,203,2006-203,19.97,20.55,,19.99,JJA,-0.953
2006,7,23,204,2006-204,15.84,16.97,,13.62,JJA,-0.701
2006,7,24,205,2006-205,12.56,13.55,,12.25,JJA,-0.724
2006,7,25,206,2006-206,16.05,18.48,,13.5,JJA,-0.864
2006,7,26,207,2006-207,11.65,13.8,,12.42,JJA,-0.81
2006,7,27,208,2006-208,10.65,11.61,,13.04,JJA,-0.859
2006,7,28,209,2006-209,13.96,14.19,,13.65,JJA,-0.859
2006,7,29,210,2006-210,13.62,14.84,,12.88,JJA,-0.82
2006,7,30,211,2006-211,13.16,17.44,,12.77,JJA,-0.747
2006,7,31,212,2006-212,10.15,10.26,,10.85,JJA,-0.617
2006,8,1,213,2006-213,8.47,10.01,,8.4,JJA,-0.643
2006,8,2,214,2006-214,8.51,9.99,,8.09,JJA,-0.658
2006,8,3,215,2006-215,13.13,16.55,,12.95,JJA,-0.818
2006,8,4,216,2006-216,14.91,20.11,,16.69,JJA,-0.763
2006,8,5,217,2006-217,18.3,22.74,,15.67,JJA,-0.648
2006,8,6,218,2006-218,14.13,17.45,,16.52,JJA,-0.742
2006,8,7,219,2006-219,17.48,21.86,,17.08,JJA,-0.587
2006,8,8,220,2006-220,16.33,18.35,,15.99,JJA,-0.655
2006,8,9,221,2006-221,12.72,16.88,,14.14,JJA,-0.673
2006,8,10,222,2006-222,15.78,17.38,,16.67,JJA,-0.726
2006,8,11,223,2006-223,19.28,21.66,,17.41,JJA,-0.516
2006,8,12,224,2006-224,21.42,20.41,,13.9,JJA,-0.494
2006,8,13,225,2006-225,15.84,18.57,,11.25,JJA,-0.501
2006,8,14,226,2006-226,12.52,12.37,,12.54,JJA,-0.556
2006,8,15,227,2006-227,14.38,17.08,,13.68,JJA,-0.497
2006,8,16,228,2006-228,18.51,20.41,,17.26,JJA,-0.515
2006,8,17,229,2006-229,15.71,19.43,,13.5,JJA,-0.641
2006,8,18,230,2006-230,15.82,19.47,,16.49,JJA,-0.647
2006,8,19,231,2006-231,17.59,19.69,,13.9,JJA,-0.42
2006,8,20,232,2006-232,11.91,12.69,,11.23,JJA,-0.424
2006,8,21,233,2006-233,9.3,8.72,,9.85,JJA,-0.428
2006,8,22,234,2006-234,10.43,13.01,,10.86,JJA,-0.548
2006,8,23,235,2006-235,11.8,16.51,,12.97,JJA,-0.56
2006,8,24,236,2006-236,13.1,15.5,,14.17,JJA,-0.512
2006,8,25,237,2006-237,15.58,15.68,,15.12,JJA,-0.435
2006,8,26,238,2006-238,13.48,14.33,,14.14,JJA,-0.319
2006,8,27,239,2006-239,13.15,12.71,,13.22,JJA,-0.394
2006,8,28,240,2006-240,11.83,14.25,,11.98,JJA,-0.5
2006,8,29,241,2006-241,12.21,11.45,,13.19,JJA,-0.436
2006,8,30,242,2006-242,18.32,18.9,,19.56,JJA,-0.501
2006,8,31,243,2006-243,20.24,20.99,,21.82,JJA,-0.442
2006,9,1,244,2006-244,16.01,15.93,,15.09,SON,-0.265
2006,9,2,245,2006-245,17.59,18.45,,18.37,SON,-0.416
2006,9,3,246,2006-246,15.06,17.43,,12.8,SON,-0.335
