year,jd,month,date,season,airfneg15,airpneg15,airp0,airp15,airp8,bsw0,bsw15,bsw8,tis0,tis15,tis8,wsu0,wsu15,wsu8,fen0,fen15,fen8,fen300,fen700,bfr0,bfr15,bfr8,pfr0,pfr15,pfr8,bwp0,bwp15,bwp8,ppac0,ppac15,ppac8,ppawneg5,ppdc0,ppdc15,ppdc8,ppdw0,tun0,tun15,tun8,tun300,tun700
2000,164,6,2000-164,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,165,6,2000-165,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,166,6,2000-166,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,167,6,2000-167,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,168,6,2000-168,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,169,6,2000-169,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,170,6,2000-170,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,171,6,2000-171,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,172,6,2000-172,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,173,6,2000-173,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,174,6,2000-174,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,175,6,2000-175,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,176,6,2000-176,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,177,6,2000-177,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,178,6,2000-178,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,179,6,2000-179,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,180,6,2000-180,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,181,6,2000-181,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,182,6,2000-182,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,183,7,2000-183,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,184,7,2000-184,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,185,7,2000-185,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,186,7,2000-186,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,187,7,2000-187,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,188,7,2000-188,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,189,7,2000-189,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,190,7,2000-190,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,191,7,2000-191,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,192,7,2000-192,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,193,7,2000-193,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,194,7,2000-194,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,195,7,2000-195,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,196,7,2000-196,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,197,7,2000-197,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,198,7,2000-198,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,199,7,2000-199,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,200,7,2000-200,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,201,7,2000-201,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,202,7,2000-202,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,203,7,2000-203,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,204,7,2000-204,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,205,7,2000-205,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,206,7,2000-206,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,207,7,2000-207,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,208,7,2000-208,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,209,7,2000-209,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,210,7,2000-210,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,211,7,2000-211,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,212,7,2000-212,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,213,7,2000-213,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,214,8,2000-214,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,215,8,2000-215,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,216,8,2000-216,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,217,8,2000-217,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,218,8,2000-218,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,219,8,2000-219,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,220,8,2000-220,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,221,8,2000-221,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,222,8,2000-222,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,223,8,2000-223,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,224,8,2000-224,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,225,8,2000-225,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,226,8,2000-226,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,227,8,2000-227,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,228,8,2000-228,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,229,8,2000-229,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,230,8,2000-230,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,231,8,2000-231,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,232,8,2000-232,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,233,8,2000-233,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,234,8,2000-234,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,235,8,2000-235,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,236,8,2000-236,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,237,8,2000-237,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,238,8,2000-238,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,239,8,2000-239,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,240,8,2000-240,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,240,8,2000-240,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,241,8,2000-241,Summer,,,,,,,,,,,,,,,,,,,,,,,,,,15.72,15.65,16.81,,,,,,,,,,,,,
2000,242,8,2000-242,Summer,,,,,,8.58,7.91,3.09,,,,9.48,8.87,4.79,,,,,,9.16,7.90,6.39,9.31,7.83,8.20,9.63,8.25,8.86,,,,,,,,,7.86,7.76,2.94,,
2000,243,8,2000-243,Summer,,,,,,5.86,5.21,3.46,,,,7.10,6.11,4.84,,,,,,7.54,4.98,6.33,7.32,5.31,8.16,7.64,5.17,9.20,,,,,,,,,6.40,5.75,2.93,,
2000,244,8,2000-244,Summer,,,,,,7.33,6.67,3.19,,,,6.97,7.60,4.77,,,,,,8.01,7.01,6.35,7.89,7.07,8.17,8.61,7.31,8.83,,,,,,,,,8.10,7.61,2.69,,
2000,245,9,2000-245,Summer,,,,,,8.23,8.44,5.13,,,,7.07,9.50,4.68,,,,,,7.97,9.15,6.34,7.84,9.19,8.17,9.77,9.57,8.59,,,,,,,,,10.15,9.40,2.45,,
2000,246,9,2000-246,Summer,,,,,,6.31,6.44,5.21,,,,6.24,7.44,4.58,,,,,,7.14,7.82,6.31,6.82,7.54,8.15,9.30,8.17,8.57,,,,,,,,,8.81,8.34,2.40,,
2000,247,9,2000-247,Summer,,,,,,7.44,7.61,4.97,,,,6.90,8.65,4.48,,,,,,7.47,8.41,6.33,7.23,8.62,8.15,10.20,8.79,8.48,,,,,,,,,8.79,9.10,2.37,,
2000,248,9,2000-248,Summer,,,,,,9.25,9.49,4.63,,,,8.49,10.59,4.38,,,,,,8.74,9.80,6.37,8.79,10.49,8.19,11.86,10.25,8.41,,,,,,,,,10.38,10.22,2.30,,
2000,249,9,2000-249,Summer,,,,,,9.76,10.02,4.48,,,,9.45,11.13,4.30,,,,,,9.67,10.85,6.41,9.93,11.10,8.21,10.60,11.36,8.50,,,,,,,,,10.78,11.78,2.33,,
2000,250,9,2000-250,Summer,,,,,,13.70,14.11,4.00,,,,14.55,15.35,4.27,,,,,,13.37,14.71,6.54,14.48,15.33,8.31,15.01,15.44,8.53,,,,,,,,,14.81,14.99,2.30,,
2000,251,9,2000-251,Summer,,,,,,9.72,9.98,4.52,,,,11.17,11.09,4.33,,,,,,10.69,10.52,6.44,11.19,10.84,8.24,11.42,11.02,9.04,,,,,,,,,10.07,10.67,2.58,,
2000,252,9,2000-252,Summer,,,,,,11.94,12.28,4.47,,,,13.54,13.46,4.49,,,,,,12.13,12.24,6.27,12.95,13.06,7.83,13.63,12.83,8.91,,,,,,,,,13.71,13.01,2.67,,
2000,253,9,2000-253,Summer,,,,,,16.55,17.07,4.11,,,,17.77,18.40,4.60,,,,,,15.62,16.63,6.30,17.24,17.99,7.87,17.00,17.46,9.35,,,,,,,,,17.17,17.23,2.72,,
2000,254,9,2000-254,Summer,,,,,,11.20,11.51,4.86,,,,12.39,12.67,4.73,,,,,,11.86,12.54,6.48,12.62,12.53,8.14,13.18,13.15,9.81,,,,,,,,,12.22,12.34,3.01,,
2000,255,9,2000-255,Summer,,,,,,7.38,7.55,5.72,,,,8.88,8.59,5.07,,,,,,8.85,10.45,6.70,8.93,8.52,8.46,9.51,10.94,9.63,,,,,,,,,8.53,8.63,3.37,,
2000,256,9,2000-256,Summer,,,,,,7.32,7.49,6.01,,,,9.25,8.52,5.30,,,,,,9.02,14.06,6.66,9.13,8.43,8.40,9.25,14.75,9.04,,,,,,,,,8.48,8.29,3.54,,
2000,257,9,2000-257,Summer,,,,,,6.30,6.43,6.14,,,,7.83,7.43,5.31,,,,,,7.79,7.25,6.51,7.63,7.76,8.18,7.97,7.56,8.68,,,,,,,,,7.40,7.85,3.42,,
2000,258,9,2000-258,Summer,,,,,,4.75,4.82,6.25,,,,4.81,5.77,5.26,,,,,,5.77,5.40,6.33,5.14,6.34,7.91,6.74,5.61,8.47,,,,,,,,,5.49,6.40,3.20,,
2000,259,9,2000-259,Summer,,,,,,7.40,7.57,5.86,,,,5.52,8.61,5.19,,,,,,6.54,8.47,6.10,6.09,9.18,7.57,9.14,8.85,8.19,,,,,,,,,7.76,9.28,2.88,,
2000,260,9,2000-260,Summer,,,,,,8.34,8.54,5.54,,,,7.13,9.61,5.01,,,,,,7.76,9.10,5.90,7.59,9.69,7.28,10.25,9.52,7.96,,,,,,,,,8.81,9.47,2.57,,
2000,261,9,2000-261,Summer,,,,,,4.01,4.05,5.92,,,,4.16,4.98,4.94,,,,,,5.59,4.93,5.77,4.93,4.82,7.09,6.73,5.12,7.78,,,,,,,,,5.48,5.66,2.56,,
2000,262,9,2000-262,Summer,,,,,,1.44,1.39,6.10,,,,1.78,2.23,4.86,,,,,,4.31,3.04,5.60,3.36,2.02,6.85,4.76,3.12,7.52,,,,,,,,,3.62,3.49,2.44,,
2000,263,9,2000-263,Summer,,,,,,3.23,3.24,5.72,,,,5.03,4.15,4.71,,,,,,5.58,3.78,5.41,4.91,3.98,6.56,5.96,3.90,7.22,,,,,,,,,4.75,4.42,2.21,,
2000,264,9,2000-264,Summer,,,,,,2.59,2.58,5.58,,,,3.85,3.46,4.55,,,,,,4.77,2.80,5.26,3.92,3.04,6.34,4.74,2.87,7.02,,,,,,,,,3.59,3.43,2.03,,
2000,265,9,2000-265,Summer,,,,,,1.59,1.54,5.54,,,,1.96,2.39,4.42,,,,,,3.00,1.98,5.10,1.75,2.08,6.12,2.57,2.00,6.75,,,,,,,,,1.54,2.61,1.90,,
2000,266,9,2000-266,Summer,,,,,,1.06,0.99,5.43,,,,1.61,1.82,4.29,,,,,,2.82,1.28,4.91,1.53,1.44,5.82,1.92,1.26,6.29,,,,,,,,,0.93,1.82,1.67,,
2000,267,9,2000-267,Summer,,,,,,2.74,2.73,5.05,,,,2.62,3.62,4.14,,,,,,3.99,2.84,4.71,2.96,3.14,5.53,3.68,2.91,5.91,,,,,,,,,2.59,3.29,1.39,,
2000,268,9,2000-268,Summer,,,,,,1.54,1.49,5.00,,,,2.35,2.34,3.99,,,,,,3.07,1.88,4.55,1.83,1.91,5.30,3.10,1.89,5.71,,,,,,,,,2.04,2.52,1.23,,
2000,269,9,2000-269,Summer,,,,,,-1.95,-2.12,5.22,,,,0.44,-1.39,3.86,,,,,,1.45,-1.56,4.38,-0.16,-2.06,5.05,-1.31,-1.73,5.33,,,,,,,,,-2.13,-0.94,1.13,,
2000,270,9,2000-270,Summer,,,,,,-1.87,-2.04,5.04,,,,0.07,-1.31,3.72,,,,,,0.75,-1.59,4.16,-1.02,-1.91,4.73,-1.17,-1.77,4.76,,,,,,,,,-2.00,-0.93,0.93,,
2000,271,9,2000-271,Summer,,,,,,0.24,0.14,4.60,,,,0.31,0.95,3.56,,,,,,1.02,0.02,3.91,-0.68,-0.07,4.37,1.36,-0.07,4.24,,,,,,,,,0.40,0.68,0.70,,
2000,272,9,2000-272,Summer,,,,,,-0.22,-0.33,4.42,,,,0.75,0.46,3.38,,,,,,2.08,-0.13,3.69,0.62,-0.10,4.04,1.79,-0.23,3.90,,,,,,,,,0.80,0.49,0.51,,
2000,273,9,2000-273,Summer,,,,,,0.05,-0.05,4.20,,,,1.18,0.75,3.23,,,,,,2.05,0.12,3.54,0.58,0.17,3.81,1.64,0.03,3.71,,,,,,,,,0.66,0.53,0.39,,
2000,274,9,2000-274,Summer,,,,,,1.80,1.76,3.86,,,,2.41,2.61,3.11,,,,,,3.01,1.72,3.46,1.76,2.11,3.71,3.18,1.73,4.00,,,,,,,,,2.12,2.33,0.27,,
2000,275,10,2000-275,Cool,,,,,,1.96,3.04,4.62,,,,3.24,3.86,3.00,,,,,,3.69,3.45,3.42,2.59,3.56,3.64,2.86,3.55,1.41,,,,,,,,,3.03,3.75,0.20,,
2000,276,10,2000-276,Cool,,,,,,0.85,0.83,4.60,,,,0.67,1.71,2.95,,,,,,2.47,1.28,3.40,1.09,1.69,3.61,0.70,1.27,2.58,,,,,,,,,0.44,1.79,0.24,,
2000,277,10,2000-277,Cool,,,,,,-0.08,-1.02,4.57,,,,-0.15,-0.09,2.89,,,,,,1.11,-0.33,3.33,-0.58,-0.46,3.52,-0.08,-0.44,2.72,,,,,,,,,-0.48,0.42,0.32,,
2000,278,10,2000-278,Cool,,,,,,-0.29,-1.45,4.46,,,,0.24,-0.50,2.79,,,,,,1.16,-0.54,3.22,-0.51,-0.77,3.35,-0.41,-0.66,2.68,,,,,,,,,-0.88,0.36,0.30,,
2000,279,10,2000-279,Cool,,,,,,0.34,-0.19,4.31,,,,0.43,0.72,2.67,,,,,,1.08,0.31,3.11,-0.62,0.60,3.19,0.37,0.24,2.59,,,,,,,,,0.05,0.90,0.25,,
2000,280,10,2000-280,Cool,,,,,,-1.94,-4.71,4.23,,,,0.30,-3.68,2.53,,,,,,1.06,-4.04,2.95,-0.64,-4.49,2.96,-2.07,-4.36,2.51,,,,,,,,,-2.87,-3.43,0.20,,
2000,281,10,2000-281,Cool,,,,,,-0.06,-0.98,4.05,,,,-1.00,-0.05,2.42,,,,,,0.78,-0.05,2.84,-0.99,0.21,2.80,-0.23,-0.15,2.41,,,,,,,,,-0.66,0.91,0.13,,
2000,282,10,2000-282,Cool,,,,,,2.36,3.84,3.89,,,,-0.12,4.63,2.34,,,,,,0.92,5.08,2.80,-0.81,4.59,2.73,3.26,5.28,2.22,,,,,,,,,3.51,4.64,0.02,,
2000,283,10,2000-283,Cool,,,,,,2.57,4.25,3.75,,,,-0.17,5.04,2.22,,,,,,0.92,5.93,2.74,-0.81,5.01,2.65,3.46,6.17,2.17,,,,,,,,,3.74,5.27,-0.01,,
2000,284,10,2000-284,Cool,,,,,,1.46,2.03,3.68,,,,-0.11,2.88,2.12,,,,,,1.59,3.76,2.63,0.02,2.41,2.49,1.60,3.88,2.25,,,,,,,,,1.52,2.76,0.04,,
2000,285,10,2000-285,Cool,,,,,,1.08,1.28,3.60,,,,0.34,2.15,2.04,,,,,,2.75,2.03,2.57,1.44,1.68,2.39,2.06,2.06,2.31,,,,,,,,,2.07,2.21,0.08,,
2000,286,10,2000-286,Cool,,,,,,0.36,-0.15,3.50,,,,0.78,0.76,1.93,,,,,,2.11,0.99,2.59,0.65,0.19,2.42,0.65,0.95,2.38,,,,,,,,,0.39,0.62,0.12,,
2000,287,10,2000-287,Cool,,,,,,0.63,0.40,3.43,,,,0.36,1.29,1.87,,,,,,1.82,0.96,2.62,0.30,1.12,2.47,1.03,0.92,2.44,,,,,,,,,0.84,1.50,0.16,,
2000,288,10,2000-288,Cool,,,,,,-2.58,-6.00,3.39,,,,-2.54,-4.92,1.75,,,,,,-0.91,-4.79,2.57,-3.06,-5.62,2.39,-3.59,-5.14,2.50,,,,,,,,,-4.68,-5.07,0.19,,
2000,289,10,2000-289,Cool,,,,,,-0.20,-1.26,3.31,,,,-1.39,-0.32,1.73,,,,,,0.07,-0.47,2.50,-1.85,-0.39,2.30,-0.38,-0.59,2.46,,,,,,,,,-0.84,-0.15,0.17,,
2000,290,10,2000-290,Cool,,,,,,0.82,0.77,3.19,,,,0.18,1.65,1.66,,,,,,1.23,1.82,2.43,-0.43,1.50,2.19,1.50,1.83,2.39,,,,,,,,,1.40,1.43,0.13,,
2000,291,10,2000-291,Cool,,,,,,2.79,4.69,3.03,,,,1.26,5.46,1.56,,,,,,2.51,6.47,2.36,1.15,5.84,2.09,3.23,6.74,2.22,,,,,,,,,3.48,5.05,0.02,,
2000,292,10,2000-292,Cool,,,,,,0.90,0.92,3.00,,,,1.47,1.80,1.48,,,,,,2.24,1.37,2.32,0.82,1.77,2.02,1.33,1.35,2.30,,,,,,,,,1.21,1.69,0.07,,
2000,293,10,2000-293,Cool,,,,,,0.61,0.35,2.96,,,,0.11,1.25,1.44,,,,,,1.02,1.08,2.32,-0.69,1.34,2.03,0.26,1.05,2.31,,,,,,,,,-0.08,1.11,0.08,,
2000,294,10,2000-294,Cool,,,,,,-0.06,-0.98,2.93,,,,0.32,-0.05,1.40,,,,,,1.07,-0.26,2.27,-0.63,-0.13,1.96,-0.57,-0.37,2.29,,,,,,,,,-1.07,0.05,0.07,,
2000,295,10,2000-295,Cool,,,,,,-1.48,-3.80,2.91,,,,-1.13,-2.79,1.33,,,,,,0.56,-2.95,2.14,-1.25,-3.05,1.77,-2.10,-3.20,2.28,,,,,,,,,-2.89,-2.90,0.06,,
2000,296,10,2000-296,Cool,,,,,,1.28,1.68,2.81,,,,0.05,2.54,1.32,,,,,,0.90,2.00,2.11,-0.84,2.88,1.72,0.74,2.02,2.25,,,,,,,,,0.49,2.56,0.04,,
2000,297,10,2000-297,Cool,,,,,,0.09,-0.68,2.76,,,,-0.48,0.24,1.24,,,,,,0.82,0.23,2.03,-0.94,0.27,1.61,0.28,0.15,2.25,,,,,,,,,-0.06,0.70,0.04,,
2000,298,10,2000-298,Cool,,,,,,-0.07,-1.01,2.70,,,,-0.37,-0.08,1.18,,,,,,0.85,0.01,1.96,-0.90,-0.18,1.51,0.25,-0.09,2.26,,,,,,,,,-0.10,0.37,0.04,,
2000,299,10,2000-299,Cool,,,,,,0.32,-0.24,2.64,,,,0.06,0.67,1.14,,,,,,0.91,0.63,1.93,-0.82,0.55,1.45,0.67,0.57,2.25,,,,,,,,,0.41,0.48,0.04,,
2000,300,10,2000-300,Cool,,,,,,0.07,-0.73,2.60,,,,0.05,0.19,1.09,,,,,,0.91,0.26,1.89,-0.83,-0.03,1.39,0.22,0.18,2.26,,,,,,,,,-0.13,0.32,0.05,,
2000,301,10,2000-301,Cool,,,,,,-0.57,-2.00,2.56,,,,-0.32,-1.05,1.04,,,,,,0.88,-0.83,1.86,-0.86,-0.68,1.36,-0.61,-0.96,2.26,,,,,,,,,-1.12,-0.06,0.05,,
2000,302,10,2000-302,Cool,,,,,,0.44,0.01,2.50,,,,-0.48,0.92,1.01,,,,,,0.88,0.87,1.84,-0.86,1.12,1.33,-0.27,0.83,2.24,,,,,,,,,-0.71,1.20,0.03,,
