site,zone,tree,aspect,height,code,fresh,dry,length,sa_needle,sa_total,gmin,viability,water
BRR,Forest,2,W,S,BRR F2 WS,0.4029,0.1919,0.985,3.3097,191.960,1.0E-05,97,110
BRR,Forest,3,W,A,BRR R3 WA,0.6214,0.2994,0.835,2.8056,143.088,1.9E-05,100,108
BRR,Forest,3,W,A,BRR F3 WA,0.3469,0.1619,1.116,3.7498,134.994,9.1E-06,100,114
BRR,Forest,3,W,C,BRR R3 WC,0.9020,0.4390,0.900,3.0241,160.275,2.5E-05,96,105
BRR,Forest,3,W,C,BRR F3 WC,0.6257,0.3417,0.967,3.2475,204.592,1.3E-05,100,83
BRR,Forest,3,W,S,BRR R3 WS,0.5856,0.2776,0.820,2.7552,209.399,8.4E-06,100,111
BRR,Forest,4,W,A,BRR R4 WA,0.5777,0.2517,1.175,3.9481,236.884,6.5E-06,78,130
BRR,Forest,4,W,A,BRR F4 WA,1.2089,0.5639,1.579,5.3039,392.485,1.1E-05,99,114
BRR,Forest,4,W,C,BRR R4 WC,0.6847,0.3107,1.015,3.4105,221.680,6.3E-06,98,120
BRR,Forest,4,W,C,BRR F4 WC,1.0963,0.5183,1.185,3.9817,274.735,1.5E-05,99,112
BRR,Forest,4,W,S,BRR R4 WS,1.1452,0.5082,0.945,3.1753,336.577,7.3E-06,100,125
BRR,Forest,5,W,A,BRR F5 WA,0.5176,0.2426,0.991,3.3281,186.376,1.0E-05,100,113
BRR,Forest,5,W,A,BRR R5 WA,0.2704,0.1274,0.810,2.7216,92.536,2.1E-05,100,112
BRR,Forest,5,W,C,BRR F5 WC,0.3243,0.1553,0.785,2.6376,105.506,1.2E-05,100,109
BRR,Forest,5,W,C,BRR R5 WC,1.0097,0.4527,1.023,3.4357,302.338,1.3E-05,99,123
BRR,Forest,5,W,S,BRR R5 WS,0.3535,0.1615,0.680,2.2848,159.939,9.5E-06,100,119
BRR,Forest,5,W,S,BRR F5 WS,0.6587,0.3107,1.109,3.7246,238.376,7.9E-06,92,112
MLK,Forest,1,W,A,MLK F1 WA,2.3085,2.0895,0.945,3.1753,152.412,7.9E-06,92,10
MLK,Forest,1,W,C,MLK F1 WC,2.3749,2.1396,0.950,3.1921,172.371,1.0E-05,98,11
MLK,Forest,1,W,S,MLK F1 WS,0.5089,0.2298,0.880,2.9569,221.764,7.2E-06,95,121
MLK,Forest,2,W,A,MLK F2 WA,0.0712,0.0279,0.823,2.7656,35.953,1.1E-05,100,155
MLK,Forest,2,W,C,MLK F2 WC,0.2292,0.1051,0.745,2.5032,92.620,1.0E-05,100,118
MLK,Forest,2,W,S,MLK F2 WS,0.2133,0.0981,0.755,2.5368,104.011,8.1E-06,100,117
MLK,Forest,3,W,A,MLK F3 WA,0.3502,0.1434,0.760,2.5536,112.360,6.7E-06,100,144
MLK,Forest,3,W,C,MLK F3 WC,0.3220,0.1153,0.860,2.8897,112.696,7.0E-06,100,179
MLK,Forest,3,W,S,MLK F3 WS,0.1946,0.0849,0.640,2.1504,129.026,4.4E-06,100,129
MLK,Forest,4,W,A,MLK F4 WA,0.2068,0.0977,0.765,2.5704,71.972,1.1E-05,100,112
MLK,Forest,4,W,C,MLK F4 WC,0.2091,0.1001,0.610,2.0496,81.985,1.1E-05,100,109
MLK,Forest,4,W,S,MLK F4 WS,0.1752,0.0804,0.640,2.1504,70.964,6.5E-06,100,118
MLK,Forest,5,W,A,MLK F5 WA,0.1823,0.0774,0.505,1.6968,39.027,1.3E-05,100,136
MLK,Forest,5,W,C,MLK F5 WC,0.2466,0.1138,0.460,1.5456,69.553,9.1E-06,100,117
MLK,Forest,5,W,S,MLK F5 WS,0.2100,0.0962,0.585,1.9656,76.660,6.1E-06,100,118
OWR,Forest,1,W,A,OWR F1 WA,0.3446,0.1328,1.040,3.4945,153.756,2.5E-06,80,159
OWR,Forest,1,W,C,OWR F1 WC,0.2183,0.0985,0.985,3.3097,82.741,1.0E-05,96,122
OWR,Forest,2,W,A,OWR F2 WA,0.7440,0.3433,1.255,4.2169,282.531,6.5E-06,99,117
OWR,Forest,2,W,C,OWR F2 WC,0.5156,0.2474,1.145,3.8473,203.905,7.7E-06,98,108
OWR,Forest,3,W,A,OWR F3 WA,0.4806,0.2247,1.180,3.9649,166.525,4.2E-07,100,114
OWR,Forest,3,W,C,OWR F3 WC,0.7374,0.3447,1.325,4.4521,240.412,5.3E-06,96,114
OWR,Forest,4,W,A,OWR F4 WA,0.3282,0.1525,0.820,2.7552,151.539,1.6E-06,100,115
OWR,Forest,4,W,C,OWR F4 WC,0.1585,0.0566,0.945,3.1753,63.505,6.3E-06,95,180
OWR,Forest,5,W,A,OWR F5 WA,0.4356,0.2583,1.065,3.5785,221.865,6.1E-06,90,69
OWR,Forest,5,W,C,OWR F5 WC,0.4398,0.2161,1.145,3.8473,157.738,5.4E-06,88,104
